"id","company_name","similar_name"
100,"Amplify Exchange","Bakkt"
101,"Amplify Exchange","dex.blue"
102,"Amplify Exchange","BTSE"
103,"Amplify Exchange","SmartFi"
104,"Amplify Exchange","SwapSpace"
105,"WazirX","ShortHop"
106,"WazirX","Bitcoin of America"
107,"WazirX","ZBG"
108,"WazirX","WhaleFin"
109,"WazirX","Overbit"
110,"WazirX","Bithumb"
111,"WazirX","Rain"
112,"WazirX","MyCoinStory"
113,"WazirX","Nash"
114,"WazirX","Kraken"
115,"DappRadar","MVP Workshop"
116,"DappRadar","Coin Metrics"
117,"DappRadar","Weiss Crypto Ratings"
118,"DappRadar","Elliptic"
119,"DappRadar","Skew"
120,"DappRadar","Circle"
121,"DappRadar","R3"
122,"DappRadar","Coinfirm"
123,"DappRadar","Input Output"
124,"DappRadar","Glassnode"
125,"Elliptic","Dfinity"
126,"Elliptic","Digital Assets Data"
127,"Elliptic","BlockVC"
128,"Elliptic","CipherTrace"
129,"Elliptic","CME Group"
130,"Elliptic","nChain"
131,"Elliptic","Input Output"
132,"Elliptic","TokenAnalyst"
133,"Elliptic","Skew"
134,"Elliptic","Weiss Crypto Ratings"
135,"Coin Metrics","LunarCRUSH"
136,"Coin Metrics","Alameda Research"
137,"Coin Metrics","IntoTheBlock"
138,"Coin Metrics","Nym"
139,"Coin Metrics","TokenInsight"
140,"Coin Metrics","Crypto Briefing"
141,"Coin Metrics","R3"
142,"Coin Metrics","CoinGecko"
143,"Coin Metrics","Glassnode"
144,"Coin Metrics","Elliptic"
145,"Glassnode","Blockchain Transparency Institute"
146,"Glassnode","Cardano Foundation"
147,"Glassnode","Coinfirm"
148,"Glassnode","Symbiosis Labs"
149,"Glassnode","Skew"
150,"Glassnode","OpenCrowd"
151,"Glassnode","MicroStrategy"
152,"Glassnode","Tezos Foundation"
153,"Glassnode","BlockVC"
154,"Glassnode","Coin Metrics"
155,"MVP Workshop","Weiss Crypto Ratings"
156,"MVP Workshop","42 Studio"
157,"MVP Workshop","Chainalysis"
158,"MVP Workshop","Elliptic"
159,"MVP Workshop","Omise"
160,"MVP Workshop","Optimism"
161,"MVP Workshop","Dapper Labs"
162,"MVP Workshop","Hyperledger"
163,"MVP Workshop","Truffle"
164,"MVP Workshop","Draper Goren Holm"
165,"Genesis Group","nChain"
166,"Genesis Group","Galaxy Digital"
167,"Genesis Group","Coinfirm"
168,"Genesis Group","Xpring"
169,"Genesis Group","Node Capital"
170,"Genesis Group","Pantera Capital"
171,"Genesis Group","Coinme"
172,"Genesis Group","Ark Invest"
173,"Genesis Group","Huobi Global"
174,"Genesis Group","GhostRider Ventures"
175,"Coinmine","Ledger"
176,"Coinmine","Bitfury"
177,"Coinmine","Canaan"
178,"Coinmine","Bitmain"
179,"Tezos Foundation","Omise"
180,"Tezos Foundation","Akoin"
181,"Tezos Foundation","Enterprise Ethereum Alliance"
182,"Tezos Foundation","Luna Foundation Guard"
183,"Tezos Foundation","Electric Coin Company"
184,"Tezos Foundation","Symbiosis Labs"
185,"Tezos Foundation","Neo Foundation"
186,"Tezos Foundation","Dfinity"
187,"Tezos Foundation","EZPostage"
188,"Tezos Foundation","Quadency"
189,"Electric Coin Company","Transparent Systems"
190,"Electric Coin Company","Ambire"
191,"Electric Coin Company","Conflux"
192,"Electric Coin Company","CertiK"
193,"Electric Coin Company","Xpring"
194,"Electric Coin Company","SolRazr"
195,"Electric Coin Company","IntoTheBlock"
196,"Electric Coin Company","Stably"
197,"Electric Coin Company","SmartContract"
198,"Electric Coin Company","Bitfury"
199,"Canaan","Ledger"
200,"Canaan","Bitmain"
201,"Canaan","Coinmine"
202,"Canaan","Bitfury"
203,"Multicoin Capital","Galaxy Digital"
204,"Multicoin Capital","Genesis Group"
205,"Multicoin Capital","Huobi Global"
206,"Multicoin Capital","Delphi Digital"
207,"Multicoin Capital","Invictus Capital"
208,"Multicoin Capital","Morningstar Ventures"
209,"Multicoin Capital","Three Arrows Capital"
210,"Multicoin Capital","Coinbase Ventures"
211,"Multicoin Capital","Ark Invest"
212,"Multicoin Capital","Jsquare"
213,"Arweave","Block"
214,"Arweave","IntoTheBlock"
215,"Arweave","CertiK"
216,"Arweave","OpenCrowd"
217,"Arweave","EZPostage"
218,"Arweave","Circle"
219,"Arweave","MyCointainer"
220,"Arweave","Conflux"
221,"Arweave","Stellar Development Foundation"
222,"Arweave","Truffle"
223,"DeversiFi","Phemex"
224,"DeversiFi","Bitbuy"
225,"DeversiFi","Bitfinex"
226,"DeversiFi","Deribit"
227,"DeversiFi","bitFlyer"
228,"DeversiFi","FTX"
229,"DeversiFi","Exolix"
230,"DeversiFi","SmartFi"
231,"DeversiFi","SIBEX"
232,"DeversiFi","Dolomite"
233,"BlockTower Capital","Galaxy Digital"
234,"BlockTower Capital","Bitwise"
235,"BlockTower Capital","Crypto Finance"
236,"BlockTower Capital","Quadency"
237,"BlockTower Capital","Arrington XRP Capital"
238,"BlockTower Capital","Goldman Sachs"
239,"BlockTower Capital","Invictus Capital"
240,"BlockTower Capital","Tradeium"
241,"BlockTower Capital","Digital Asset Management"
242,"BlockTower Capital","Strix Leviathan"
243,"Civil","Digital Assets Data"
244,"Civil","stakefish"
245,"Civil","Strike"
246,"Civil","Cartesi"
247,"Civil","Cryptonites"
248,"Civil","ConsenSys"
249,"Civil","CommerceBlock"
250,"Civil","Cointelegraph"
251,"Civil","Chainalysis"
252,"Civil","CertiK"
253,"Cointraffic","EAK Digital"
254,"Cointraffic","Conversion Wizards"
255,"Cointraffic","MediaX Agency"
256,"Cointraffic","CrowdfundX"
257,"Cointraffic","InboundJunction"
258,"Cointraffic","TokenMinds"
259,"Cointraffic","AZ Blockchain"
260,"Cointraffic","MarketAcross"
261,"Cointraffic","YAP Global"
262,"Cointraffic","Issuance"
263,"STASIS","Quadency"
264,"STASIS","Meta"
265,"STASIS","ARYZE"
266,"STASIS","SmartContract"
267,"STASIS","Electric Coin Company"
268,"STASIS","Chainalysis"
269,"STASIS","MINERSET"
270,"STASIS","Celsius Network"
271,"STASIS","Reflexer Labs"
272,"STASIS","Lendroid"
273,"Weiss Crypto Ratings","R3"
274,"Weiss Crypto Ratings","Skew"
275,"Weiss Crypto Ratings","Chainalysis"
276,"Weiss Crypto Ratings","IntoTheBlock"
277,"Weiss Crypto Ratings","Delphi Digital"
278,"Weiss Crypto Ratings","Circle"
279,"Weiss Crypto Ratings","Elliptic"
280,"Weiss Crypto Ratings","Santiment"
281,"Weiss Crypto Ratings","Coin Center"
282,"Weiss Crypto Ratings","CME Group"
283,"Dolomite","Bitbuy"
284,"Dolomite","CryptoAltum"
285,"Dolomite","ChangeNOW"
286,"Dolomite","PrimeBit"
287,"Dolomite","Binance.US"
288,"Dolomite","SwissBorg"
289,"Dolomite","AAX"
290,"Dolomite","BaseFEX"
291,"Dolomite","BigONE"
292,"Dolomite","Amplify Exchange"
293,"Nash","BTCMEX"
294,"Nash","DeversiFi"
295,"Nash","XBTPro"
296,"Nash","BTSE"
297,"Nash","SmartFi"
298,"Nash","Overbit"
299,"Nash","Decoin"
300,"Nash","Mt. Gox"
301,"Nash","bitFlyer USA"
302,"Nash","PrimeBit"
303,"SmartContract","Digital Assets Data"
304,"SmartContract","Gitcoin"
305,"SmartContract","MicroStrategy"
306,"SmartContract","Xpring"
307,"SmartContract","Block.one"
308,"SmartContract","Footprint Analytics"
309,"SmartContract","Reflexer Labs"
310,"SmartContract","Arweave"
311,"SmartContract","Nym"
312,"SmartContract","Circle"
313,"CME Group","Bitfinex"
314,"CME Group","LetsExchange"
315,"CME Group","TokenInsight"
316,"CME Group","UPbit"
317,"CME Group","Bakkt"
318,"CME Group","Dolomite"
319,"CME Group","BitMEX"
320,"CME Group","ZBG"
321,"CME Group","MXC"
322,"CME Group","Swyftx"
323,"Deribit","Bitstamp"
324,"Deribit","bitFlyer USA"
325,"Deribit","Exolix"
326,"Deribit","BTSE"
327,"Deribit","Anycoin Direct"
328,"Deribit","Bitbuy"
329,"Deribit","LocalBitcoins"
330,"Deribit","Symbiosis Labs"
331,"Deribit","NSBroker"
332,"Deribit","Decoin"
333,"Dash Foundation","MyCointainer"
334,"Dash Foundation","CoinGecko"
335,"Dash Foundation","TF Blockchain"
336,"Dash Foundation","Litecoin Foundation"
337,"Dash Foundation","Neo Foundation"
338,"Dash Foundation","Ethereum Foundation"
339,"Dash Foundation","IOTA Foundation"
340,"Dash Foundation","Luna Foundation Guard"
341,"Dash Foundation","Tezos Foundation"
342,"Dash Foundation","Blockchain Game Alliance"
343,"Litecoin Foundation","Blockchain Game Alliance"
344,"Litecoin Foundation","Dash Foundation"
345,"Litecoin Foundation","GiveCrypto"
346,"Litecoin Foundation","Bitcoin Foundation"
347,"Litecoin Foundation","IOTA Foundation"
348,"Litecoin Foundation","Ethereum Foundation"
349,"Litecoin Foundation","Coin Center"
350,"Litecoin Foundation","Stellar Development Foundation"
351,"Litecoin Foundation","Cardano Foundation"
352,"Litecoin Foundation","Luna Foundation Guard"
353,"Cardano Foundation","Block.one"
354,"Cardano Foundation","ConsenSys"
355,"Cardano Foundation","IntoTheBlock"
356,"Cardano Foundation","SolRazr"
357,"Cardano Foundation","GiveCrypto"
358,"Cardano Foundation","Strix Leviathan"
359,"Cardano Foundation","Electric Coin Company"
360,"Cardano Foundation","R3"
361,"Cardano Foundation","Prysmatic Labs"
362,"Cardano Foundation","CommerceBlock"
363,"Agoric","CertiK"
364,"Agoric","Optimism"
365,"Agoric","Core Scientific"
366,"Agoric","Footprint Analytics"
367,"Agoric","Omise"
368,"Agoric","Bluezelle"
369,"Agoric","R3"
370,"Agoric","CommerceBlock"
371,"Agoric","SolRazr"
372,"Agoric","Crypto Capital"
373,"Bitspark","ShapeShift"
374,"Bitspark","CryptoAltum"
375,"Bitspark","Bitfinex"
376,"Bitspark","WhaleFin"
377,"Bitspark","FTX"
378,"Bitspark","OKCoin"
379,"Bitspark","XT.COM Exchange"
380,"Bitspark","BaseFEX"
381,"Bitspark","LocalBitcoins"
382,"Bitspark","HitBTC"
383,"Casa","Lightning Labs"
384,"Casa","Omise"
385,"Casa","Ava Labs"
386,"Casa","Dfinity"
387,"Casa","Parity Technologies"
388,"Casa","Sky Mavis"
389,"Casa","Digital Assets Data"
390,"Casa","Conflux"
391,"Casa","CommerceBlock"
392,"Casa","OpenCrowd"
393,"RTrade Technologies","Animoca Brands"
394,"RTrade Technologies","Tradeium"
395,"RTrade Technologies","Hyperledger"
396,"RTrade Technologies","Worthpad"
397,"RTrade Technologies","TokenMinds"
398,"RTrade Technologies","Meta"
399,"RTrade Technologies","SmartContract"
400,"RTrade Technologies","Lightning Labs"
401,"RTrade Technologies","Coinfirm"
402,"RTrade Technologies","Footprint Analytics"
403,"Tachyon","EMURGO"
404,"Tachyon","BlockVC"
405,"Tachyon","Node Capital"
406,"Tachyon","Bloccelerate"
407,"Tachyon","Launchpool Labs"
408,"Tachyon","#Hashed"
409,"Tachyon","Xpring"
410,"Tachyon","Draper Goren Holm"
411,"Tachyon","MINERSET"
412,"Tachyon","Worthpad"
413,"Gitcoin","Celsius Network"
414,"Gitcoin","Xpring"
415,"Gitcoin","ZenLedger"
416,"Gitcoin","Minds + Machines Group Limited"
417,"Gitcoin","Civil"
418,"Gitcoin","SmartContract"
419,"Gitcoin","Blockstation"
420,"Gitcoin","Footprint Analytics"
421,"Gitcoin","Prysmatic Labs"
422,"Gitcoin","Meta"
423,"Core Scientific","Prysmatic Labs"
424,"Core Scientific","RTrade Technologies"
425,"Core Scientific","Dfinity"
426,"Core Scientific","Visa"
427,"Core Scientific","CertiK"
428,"Core Scientific","Xpring"
429,"Core Scientific","ConsenSys"
430,"Core Scientific","MVP Workshop"
431,"Core Scientific","Dapper Labs"
432,"Core Scientific","42 Studio"
433,"Rain","Amplify Exchange"
434,"Rain","PrimeXBT"
435,"Rain","OKCoin"
436,"Rain","DeversiFi"
437,"Rain","WazirX"
438,"Rain","SwissBorg"
439,"Rain","Bit.com"
440,"Rain","Bity"
441,"Rain","Gemini"
442,"Rain","WhaleFin"
443,"Miner Bros Limited","Spendabit"
444,"Miner Bros Limited","Bitcoin of America"
445,"Miner Bros Limited","Coinme"
446,"Miner Bros Limited","MINERSET"
447,"Miner Bros Limited","TravelbyBit"
448,"Miner Bros Limited","Bitcoin Gear"
449,"MXC","PrimeBit"
450,"MXC","Phemex"
451,"MXC","Gemini"
452,"MXC","BTSE"
453,"MXC","Overbit"
454,"MXC","XT.COM Exchange"
455,"MXC","Binance.US"
456,"MXC","BitCoke"
457,"MXC","Swyftx"
458,"MXC","Onomy Protocol"
459,"MeterQubes","MyCoinStory"
460,"MeterQubes","PrimeXBT"
461,"MeterQubes","BW.com"
462,"MeterQubes","HitBTC"
463,"MeterQubes","dex.blue"
464,"MeterQubes","Bitbuy"
465,"MeterQubes","LocalBitcoins"
466,"MeterQubes","Bybit"
467,"MeterQubes","Rain"
468,"MeterQubes","FTX US Derivatives (formerly LedgerX)"
469,"Crypto Finance","Genesis Group"
470,"Crypto Finance","Blockchain Capital"
471,"Crypto Finance","CrowdfundX"
472,"Crypto Finance","#Hashed"
473,"Crypto Finance","Grayscale Investments"
474,"Crypto Finance","Fidelity Investments"
475,"Crypto Finance","Morgan Creek Digital Assets"
476,"Crypto Finance","BlockTower Capital"
477,"Crypto Finance","Tradeium"
478,"Crypto Finance","Bitwise"
479,"Enterprise Ethereum Alliance","Lendroid"
480,"Enterprise Ethereum Alliance","nChain"
481,"Enterprise Ethereum Alliance","Issuance"
482,"Enterprise Ethereum Alliance","tZERO"
483,"Enterprise Ethereum Alliance","Stably"
484,"Enterprise Ethereum Alliance","Cartesi"
485,"Enterprise Ethereum Alliance","Revolut"
486,"Enterprise Ethereum Alliance","BitGo"
487,"Enterprise Ethereum Alliance","Optimism"
488,"Enterprise Ethereum Alliance","Lightning Labs"
489,"UPbit","ShortHop"
490,"UPbit","Worthpad"
491,"UPbit","Bybit"
492,"UPbit","Onomy Protocol"
493,"UPbit","ChangeNOW"
494,"UPbit","Rain"
495,"UPbit","PrimeBit"
496,"UPbit","C-Trade"
497,"UPbit","dex.blue"
498,"UPbit","WazirX"
499,"tZERO","Parity Technologies"
500,"tZERO","Goldman Sachs"
501,"tZERO","Dapper Labs"
502,"tZERO","Openledger"
503,"tZERO","Dfinity"
504,"tZERO","MVP Workshop"
505,"tZERO","Onomy Protocol"
506,"tZERO","Genesis Group"
507,"tZERO","SolRazr"
508,"tZERO","R3"
509,"Bitcoin Gear","Miner Bros Limited"
510,"Bitcoin Gear","Bitcoin of America"
511,"Bitcoin Gear","Spendabit"
512,"Bitcoin Gear","TravelbyBit"
513,"Bitcoin Gear","MINERSET"
514,"Bitcoin Gear","Coinme"
515,"Bitcoin Foundation","IOTA Foundation"
516,"Bitcoin Foundation","Litecoin Foundation"
517,"Bitcoin Foundation","Sydney Blockchain Centre"
518,"Bitcoin Foundation","Cardano Foundation"
519,"Bitcoin Foundation","Tezos Foundation"
520,"Bitcoin Foundation","TF Blockchain"
521,"Bitcoin Foundation","MyCointainer"
522,"Bitcoin Foundation","Blockchain Game Alliance"
523,"Bitcoin Foundation","Dash Foundation"
524,"Bitcoin Foundation","GiveCrypto"
525,"nChain","CME Group"
526,"nChain","Input Output"
527,"nChain","Weiss Crypto Ratings"
528,"nChain","JPMorgan"
529,"nChain","42 Studio"
530,"nChain","Block.one"
531,"nChain","Genesis Group"
532,"nChain","Messari"
533,"nChain","Coin Center"
534,"nChain","CoinGecko"
535,"Morgan Creek Digital Assets","Strix Leviathan"
536,"Morgan Creek Digital Assets","Crypto Finance"
537,"Morgan Creek Digital Assets","MyCointainer"
538,"Morgan Creek Digital Assets","Invictus Capital"
539,"Morgan Creek Digital Assets","Fidelity Investments"
540,"Morgan Creek Digital Assets","Luna Foundation Guard"
541,"Morgan Creek Digital Assets","JPMorgan"
542,"Morgan Creek Digital Assets","Blockstation"
543,"Morgan Creek Digital Assets","Arrington XRP Capital"
544,"Morgan Creek Digital Assets","#Hashed"
545,"Block.one","MVP Workshop"
546,"Block.one","Mogul Productions"
547,"Block.one","Solana"
548,"Block.one","TaxBit"
549,"Block.one","MicroStrategy"
550,"Block.one","Enterprise Ethereum Alliance"
551,"Block.one","Prysmatic Labs"
552,"Block.one","Digital Assets Data"
553,"Block.one","nChain"
554,"Block.one","Openledger"
555,"Blockstation","Celsius Network"
556,"Blockstation","CertiK"
557,"Blockstation","Issuance"
558,"Blockstation","Glassnode"
559,"Blockstation","Akoin"
560,"Blockstation","Mastercard"
561,"Blockstation","Crypto Finance"
562,"Blockstation","R3"
563,"Blockstation","MINERSET"
564,"Blockstation","Reflexer Labs"
565,"Crypto Capital","Block"
566,"Crypto Capital","Minds + Machines Group Limited"
567,"Crypto Capital","Digital Assets Data"
568,"Crypto Capital","Stellar Development Foundation"
569,"Crypto Capital","SolRazr"
570,"Crypto Capital","Strix Leviathan"
571,"Crypto Capital","Blockstream"
572,"Crypto Capital","Blockstation"
573,"Crypto Capital","Parity Technologies"
574,"Crypto Capital","Revolut"
575,"ARYZE","Akoin"
576,"ARYZE","Prysmatic Labs"
577,"ARYZE","Stably"
578,"ARYZE","Lightning Labs"
579,"ARYZE","Blox"
580,"ARYZE","Xpring"
581,"ARYZE","Block"
582,"ARYZE","Parity Technologies"
583,"ARYZE","stakefish"
584,"ARYZE","Arweave"
585,"CODEX","Phemex"
586,"CODEX","C-Trade"
587,"CODEX","Bitbuy"
588,"CODEX","BTSE"
589,"CODEX","Overbit"
590,"CODEX","ZebPay"
591,"CODEX","NSBroker"
592,"CODEX","FTX US Derivatives (formerly LedgerX)"
593,"CODEX","Anycoin Direct"
594,"CODEX","ChangeNOW"
595,"HitBTC","Crypto.com"
596,"HitBTC","Mt. Gox"
597,"HitBTC","Overbit"
598,"HitBTC","Bitcoin of America"
599,"HitBTC","Binance.US"
600,"HitBTC","DeversiFi"
601,"HitBTC","MyCoinStory"
602,"HitBTC","bitFlyer USA"
603,"HitBTC","Deribit"
604,"HitBTC","FTX"
605,"Bitfury","BitMEX"
606,"Bitfury","Issuance"
607,"Bitfury","Omise"
608,"Bitfury","Input Output"
609,"Bitfury","Prysmatic Labs"
610,"Bitfury","BlockVC"
611,"Bitfury","Ledger"
612,"Bitfury","CME Group"
613,"Bitfury","Santiment"
614,"Bitfury","Securitize"
615,"Mastercard","Block"
616,"Mastercard","Blockstation"
617,"Mastercard","IntoTheBlock"
618,"Mastercard","Omise"
619,"Mastercard","BitGo"
620,"Mastercard","Tezos Foundation"
621,"Mastercard","Tradeium"
622,"Mastercard","Crypto Capital"
623,"Mastercard","ARYZE"
624,"Mastercard","Xpring"
625,"Minds + Machines Group Limited","Strix Leviathan"
626,"Minds + Machines Group Limited","Akoin"
627,"Minds + Machines Group Limited","TaxBit"
628,"Minds + Machines Group Limited","Delphi Digital"
629,"Minds + Machines Group Limited","Mastercard"
630,"Minds + Machines Group Limited","Celsius Network"
631,"Minds + Machines Group Limited","Blockchain, Inc."
632,"Minds + Machines Group Limited","Blockstream"
633,"Minds + Machines Group Limited","RTrade Technologies"
634,"Minds + Machines Group Limited","Prysmatic Labs"
635,"ShapeShift","FTX"
636,"ShapeShift","DeversiFi"
637,"ShapeShift","BaseFEX"
638,"ShapeShift","UPbit"
639,"ShapeShift","bitFlyer"
640,"ShapeShift","BW.com"
641,"ShapeShift","ZB.com"
642,"ShapeShift","BigONE"
643,"ShapeShift","bitFlyer USA"
644,"ShapeShift","C-Trade"
645,"JPMorgan","RTrade Technologies"
646,"JPMorgan","Ava Labs"
647,"JPMorgan","BlockVC"
648,"JPMorgan","Strix Leviathan"
649,"JPMorgan","Digital Asset Management"
650,"JPMorgan","Invictus Capital"
651,"JPMorgan","TokenMinds"
652,"JPMorgan","Quadency"
653,"JPMorgan","Dfinity"
654,"JPMorgan","WhaleFin"
655,"TokenInsight","nChain"
656,"TokenInsight","Santiment"
657,"TokenInsight","Digital Assets Data"
658,"TokenInsight","Nym"
659,"TokenInsight","Elliptic"
660,"TokenInsight","Blockchain Transparency Institute"
661,"TokenInsight","Skew"
662,"TokenInsight","Coinfirm"
663,"TokenInsight","Weiss Crypto Ratings"
664,"TokenInsight","CME Group"
665,"AZ Blockchain","Conversion Wizards"
666,"AZ Blockchain","Paradox Group"
667,"AZ Blockchain","Zebu Digital"
668,"AZ Blockchain","42 Studio"
669,"AZ Blockchain","Cointraffic"
670,"AZ Blockchain","Issuance"
671,"AZ Blockchain","InboundJunction"
672,"AZ Blockchain","CrowdfundX"
673,"AZ Blockchain","MarketAcross"
674,"AZ Blockchain","MediaX Agency"
675,"Fidelity Investments","Morgan Creek Digital Assets"
676,"Fidelity Investments","BlockTower Capital"
677,"Fidelity Investments","Strix Leviathan"
678,"Fidelity Investments","Blockstation"
679,"Fidelity Investments","BlockVC"
680,"Fidelity Investments","JPMorgan"
681,"Fidelity Investments","Crypto Finance"
682,"Fidelity Investments","Bitwise"
683,"Fidelity Investments","Securitize"
684,"Fidelity Investments","Quadency"
685,"Genesis Mining","Huobi Global"
686,"Genesis Mining","Bitfury"
687,"Genesis Mining","Bitmain"
688,"Real Time Crypto","Cryptonites"
689,"Real Time Crypto","The Block"
690,"Real Time Crypto","CoinDesk"
691,"Real Time Crypto","Civil"
692,"Real Time Crypto","CryptoPanic"
693,"Real Time Crypto","Cointelegraph"
694,"Real Time Crypto","BlockDown"
695,"Real Time Crypto","Blockworks"
696,"Real Time Crypto","CryptoSlate"
697,"Real Time Crypto","TF Blockchain"
698,"Poloniex","Phemex"
699,"Poloniex","Swapzone"
700,"Poloniex","Crypto.com"
701,"Poloniex","ShortHop"
702,"Poloniex","Bitbuy"
703,"Poloniex","Currency.com"
704,"Poloniex","CME Group"
705,"Poloniex","Bitstamp"
706,"Poloniex","ZebPay"
707,"Poloniex","Nash"
708,"Digital Ark","InboundJunction"
709,"Digital Ark","MarketAcross"
710,"Digital Ark","MediaX Agency"
711,"Digital Ark","EAK Digital"
712,"Digital Ark","CrowdfundX"
713,"Digital Ark","YAP Global"
714,"Digital Ark","AZ Blockchain"
715,"Digital Ark","Conversion Wizards"
716,"Digital Ark","Zebu Digital"
717,"Digital Ark","42 Studio"
718,"Openledger","Dfinity"
719,"Openledger","Optimism"
720,"Openledger","Reflexer Labs"
721,"Openledger","Dapper Labs"
722,"Openledger","Hyperledger"
723,"Openledger","Truffle"
724,"Openledger","Input Output"
725,"Openledger","42 Studio"
726,"Openledger","RTrade Technologies"
727,"Openledger","Ignite"
728,"Kraken","Anycoin Direct"
729,"Kraken","Symbiosis Labs"
730,"Kraken","BitMEX"
731,"Kraken","OKCoin"
732,"Kraken","Bitspark"
733,"Kraken","MeterQubes"
734,"Kraken","Decoin"
735,"Kraken","Gemini"
736,"Kraken","Bithumb"
737,"Kraken","XT.COM Exchange"
738,"CryptoPanic","Crypto Briefing"
739,"CryptoPanic","The Block"
740,"CryptoPanic","Real Time Crypto"
741,"CryptoPanic","Decrypt"
742,"CryptoPanic","Civil"
743,"CryptoPanic","CoinDesk"
744,"CryptoPanic","Cointelegraph"
745,"CryptoPanic","BlockDown"
746,"CryptoPanic","Cryptonites"
747,"CryptoPanic","Blockworks"
748,"Bitstamp","Mt. Gox"
749,"Bitstamp","SwapSpace"
750,"Bitstamp","CryptoAltum"
751,"Bitstamp","Anycoin Direct"
752,"Bitstamp","Swapzone"
753,"Bitstamp","BaseFEX"
754,"Bitstamp","HitBTC"
755,"Bitstamp","UPbit"
756,"Bitstamp","ZBG"
757,"Bitstamp","FTX"
758,"Hyperledger","Symbiosis Labs"
759,"Hyperledger","tZERO"
760,"Hyperledger","Enterprise Ethereum Alliance"
761,"Hyperledger","Meta"
762,"Hyperledger","Strike"
763,"Hyperledger","Sky Mavis"
764,"Hyperledger","Xpring"
765,"Hyperledger","Revolut"
766,"Hyperledger","Delphi Digital"
767,"Hyperledger","Reflexer Labs"
768,"Sydney Blockchain Centre","WTIA Cascadia Blockchain Council"
769,"Sydney Blockchain Centre","Crypto Briefing"
770,"Sydney Blockchain Centre","Bitcoin Foundation"
771,"Sydney Blockchain Centre","MyCointainer"
772,"Sydney Blockchain Centre","ConsenSys"
773,"Sydney Blockchain Centre","Dash Foundation"
774,"Sydney Blockchain Centre","CoinGecko"
