"id","person_name","work"
118,"Michael Moro","SecondMarket -Inc.DIrector2008-2015"
119,"Chris Burniske","ARK Investment Management -LLCBlockchain Products Lead2014-2017"
120,"Hal Finney","Green Hills SoftwareSoftware Engineer1990-1996"
121,"Hal Finney","PGP IncorporatedSenior Software Engineer1996-1998"
122,"Hal Finney","Network AssociatesSenior Software Engineer1998-2004"
123,"Hal Finney","McAfeeCryptographic Software Engineer2000-2004"
124,"Hal Finney","PGP CorporationSenior Cryptographic Engineer2004-2011"
125,"Nikolay Storonsky","Lehman BrothersEquity Derivatives Trader2006-2008"
126,"Nikolay Storonsky","Credit SuisseEquity Derivatives Trader2008-2013"
127,"Jacobo Toll-Messia","Project ManagerCapital One2005"
128,"Jacobo Toll-Messia","Project ManagerLogica2005-2006"
129,"Jacobo Toll-Messia","Program ManagerEpsis2006-2008"
130,"Jacobo Toll-Messia","IBM Global Business ServicesManaging Consultant2008-2010"
131,"Tim Coulter","NoteAppFounder2010-2014"
132,"Tim Coulter","LayerVaultQA Engineer2013-2015"
133,"Min Kim","Deutche BankInvestment Banker2005-2009"
134,"Min Kim","IVELA GlobalFounder2009-2012"
135,"Min Kim","Tapas MediaCOO2012-2015"
136,"Min Kim","DAYLI Financial GroupCSO2015-2018"
137,"Jonathan G. Blanco","TF LabsCo-Founder - "
138,"Kristy-Leigh Minehan","Genesis Mining Directory of Technology2015-2017"
139,"Kristy-Leigh Minehan","Blockchain Consulting BmbHCryptographic Engineer2016-2018"
140,"Kristy-Leigh Minehan","OhGodACompanyBoss Lady2013-2018"
141,"Dave Pulis","University of MaltaVisiting Lecturer2007-2010"
142,"Dave Pulis","SSNEDAdministrator2009-2013"
143,"Dave Pulis","EXANTEInstitutional Trading2013-2018"
144,"Kate Mitselmakher","Gartner InvestVenture Capital & Private Equity2012-2014"
145,"Chris Jones","Blockchain SeattleCo-Founder2017-2018"
146,"Chris Jones","ChartercoinCo-Founder2017-2018"
147,"Chris Jones","Dragonchain CMO2019"
148,"Charles Hoskinson","Invictus Innovations Inc.CEO & Co-Founder2013"
149,"Charles Hoskinson","Ethereum Foundation CEO2013-2014"
150,"Kory Hoang","Lehrer Financial Innovations -Inc.Research Analyst - "
151,"Kory Hoang","PitchBook DataPrivate Equity Data Analyst2017"
152,"Spencer Dinwiddie","Detroit PistonsProfessional Athlete2014-2016"
153,"Spencer Dinwiddie","Chicago BullsProfessional Athlete2016"
154,"Michael Arrington","AchexCo-Founder1999-2001"
155,"Michael Arrington","TechCrunchFounder & Editor2005-2011"
156,"Taylor Monahan","MyEtherWallet Founder2015-2018"
157,"Edward Moncada","Unveil LLCCo-Founder2010-2012"
158,"Edward Moncada","DatablockCo-Founder2017-2018"
159,"Edward Moncada","Dash DASH Foundation Board Member2014-2018"
160,"Adam White","Lawrence Livermore National LaboratoryTechnical Scholar2004-2006"
161,"Adam White","United States Air ForceFlight Test Engineer2006-2011"
162,"Adam White","Bain & CompanyConsultant2012"
163,"Adam White","Activision BlizzardProduct Manager2013"
164,"Adam White","Coinbase Vice President & General Manager2016-2018"
165,"Fred Ehrsam","Duke Universityassembling DNA Nanostructures Research - "
166,"Fred Ehrsam","Goldman Sachs Trader2010-2012"
167,"Fred Ehrsam","Coinbase Co-Founder2012-2017"
168,"Kosala Hemachandra","Blockchains -LLCChief Blockchains Officer2018"
169,"Michael Novogratz","Goldman Sachs Partner1991-2002"
170,"Michael Novogratz","Fortress Investment GroupCIO -Macro Fund2002-2015"
171,"David Marcus","GTN TelecomFounder -Chairman & CEO1996-2000"
172,"David Marcus","echo6Chairman2006-2008"
173,"David Marcus","ZongFounder and CEO2008-2011"
174,"David Marcus","PayPalPresident2012-2014"
175,"David Marcus","Coinbase Member Board of Directors2017-2018"
176,"David Marcus","Tipping Point CommunityMember Board of Directors2017-2019"
177,"Su Zhu","Flow TradersTrader2009-2011"
178,"Su Zhu","Deutsche BankTrader2011-2012"
179,"Alex Krüger","Credit Lyonnaise Securities Asia (CLSA)Equity Research1999"
180,"Alex Krüger","Ministry of EconomyEconomist2000-2002"
181,"Alex Krüger","Noboa GroupDirector2003-2010"
182,"Alex Krüger","HSBC BankInstitutional Sales Trader -Global Banking & Markets2011-2013"
183,"Ryan Sean Adams","Vivus SoftwareVice President & Principal2003-2009"
184,"Ryan Sean Adams","IntalgentCEO2009-2010"
185,"Ryan Sean Adams","MeddiusVice President of Sales2016-2017"
186,"Ryan Sean Adams","Premier Inc.Vice President -Integrated Platform & Analyticcs2016-2017"
187,"John McAfee","McAfeeCEO & Founder1987-1994"
188,"Lawrence Lerner","GENPACT LLCVice President and Global Head of Quality and Testing - "
189,"Lawrence Lerner","Ameritas TechnologiesVice President Consulting Services2013-2014"
190,"Lawrence Lerner","LEVLStrategy and Technology2015-2016"
191,"Lawrence Lerner","FrontFundrBoard Advisor2015-2017"
192,"Charlie Lee","Kana CommunicationsSoftware Engineer2000-2003"
193,"Charlie Lee","Guidewire SoftwareSenior Software Engineer2003-2007"
194,"Charlie Lee","GoogleSoftware Engineer2007-2013"
195,"Charlie Lee","Coinbase Director of Engineering2015-2017"
196,"Vitalik Buterin","NextThought -LLCDeveloper Intern2012"
197,"Vitalik Buterin","Bitcoin MagazineWriter2011-2014"
198,"Da Hongfei","IntPass ConsultingCEO2005-2013"
199,"Travis Kling","KPMGTransaction Service Associate2007"
200,"Travis Kling","Simmons & Company InternationalCorporate Finance Analyst2008-2010"
201,"Travis Kling","Magnetar CapitalEnergy Analyst2011-2015"
202,"Travis Kling","Point72 Asset ManagementPortfolio Manager2015-2017"
203,"Caitlin Long","Morgan StanleyManaging Director2007-2016"
204,"Caitlin Long","Symbiont.ioChairman of the Board & President2016-2018"
205,"Caitlin Long","Wyoming Blockchain CoalitionCo-Founder2017-2019"
206,"Sasha Ivanov","Intelligence UnitradeFounder & CEO2009-2016"
207,"Paolo Ardoino","FinclusterPartner2012-2015"
208,"Jean-Louis van der Velde","Amos Ltd.Managing Director1995-1999"
209,"Jean-Louis van der Velde","Tuxia GmbHCSO & Co-Founder1999-2002"
210,"Jean-Louis van der Velde","PAG Asia Inc.CEO2006-2012"
211,"James Todaro","Kresge Eye InstitutePhysician2015-2018"
212,"Jay Clayton","Sullivan & Cromwell LLPPartner - "
213,"Jay Clayton","University of Pennsylvania Law SchoolLecturer in Law and Adjunct Professor2009-2017"
214,"Dominik Schiener","FileyyFounder & CEO2012-2013"
215,"Dominik Schiener","Bithaus GmbHCo-Founder2014-2015"
216,"Dominik Schiener","Finhaus Ltd.Co-Founder2015-2016"
217,"Ari Paul","Susquehanna International Group -LLPDerivatives Trader2006-2010"
218,"Ari Paul","The University of ChicagoPortfolio Manager2016-2017"
219,"Jack Lu","XeroxSoftware Architect2010"
220,"Jack Lu","Hewlett-PackardSr. Software Architect2010-2014"
221,"Jack Lu","Factom Co-Founder & CTO2014-2016"
222,"Alex Mashinsky","Inseego Corp.CEO & Board Member2014-2015"
223,"Alex Mashinsky","Transit WirelessFounder & Chairman2003-2016"
224,"Changpeng Zhao","BloombergHead of Tradebook Futures Development2001-2005"
225,"Changpeng Zhao","PartnerFusion Systems2005-2013"
226,"Changpeng Zhao","BlockchainHead of Development2013-2014"
227,"Changpeng Zhao","BijieTechFounder2015-2017"
228,"Cal Evans","The Cryptocurrency AcademyFounderOct 2017 - Mar 2018"
229,"Yi He","China Travel TV ChannelTV AnchorApr 2012 - 2014"
230,"Yi He","OKCoinCo-FounderMar 2014 - July 2015"
231,"Rune Christensen","Try ChinaCo-Founder2011-2014"
232,"Steven Becker","Penryth Global Securities LendingHead of Risk and Product Development2001-2002"
233,"Steven Becker","PSG Investment BankInterest Rate Derivatives Trader2002-2003"
234,"Steven Becker","Polus CapitalExecutive Director/CEO and Shareholder2003-2012"
235,"Kathleen Breitman","AccentureStategy2014-2016"
236,"Kathleen Breitman","R3 Sr. Stategy Associate2016"
237,"Pat Larsen","US NavyHelicopter Pilot2002-2011"
238,"Pat Larsen","Lincoln InternationalAssociate -M&A2011-2012"
239,"Pat Larsen","Profitics -Inc.VP of Business Development2012-2014"
240,"Pat Larsen","AmazonSr. Vendor Manager -Licensed Sports2015"
241,"Pat Larsen","Cathay FenixDirector -Foreign Manufacturer Sales2015-2016"
242,"Pat Larsen","Vets In TechCommunity Directory2015-2016"
243,"Gregory Klumov","Matrix AdvisorsDeputy CEO / Investment Director2016-2017"
244,"Joost Jager","MeteoGroup NederlandLeader Developer Artificial Intelligence2016-2017"
245,"Joost Jager","UltimakerSoftware Developer / Product Owner2017-2018"
246,"Will Harborne","Intellisense.ioProcess Modeling and Optimization2016"
247,"Will Harborne","IBM Blockchain IT Consultant and Blockchain2016-2017"
248,"Will Harborne","Bitfinex Projects Lead (Blockchain/Ethereum) - "
249,"Kyle Samani","PristineCo-Founder & CEO2013-2015"
250,"Narek Gevorgyan","Bartly (acquired by reKindness)CTO & Co-Founder2015-2016"
251,"Narek Gevorgyan","OffParse.comCEO & Co-Founder2016-2017"
252,"Narek Gevorgyan","InommaCEO & Co-Founder2013-2017"
253,"Sergey Nazarov","ExistLocal Inc.Co-Founder & CEO2009-2011"
254,"Sergey Nazarov","QED CapitalGeneral Partner2011-2014"
255,"Sergey Nazarov","CryptaMailCo-Founder & CEO2014"
256,"Sergey Nazarov","Secure Asset ExchangeCo-Founder & CEO2014-2016"
257,"Richie Lai","MicrosoftSecurity Engineer2000-2003"
258,"Richie Lai","MicrosoftPrincipal Development Manager2003-2009"
259,"Richie Lai","QualysDirector of Vulnerability Research2009-2010"
260,"Richie Lai","AmazonSenior Security Manager2013-2017"
261,"Matej Michalko","CoinsultingCo-Founder & CEODec 2013 - Mar 2015"
262,"Matej Michalko","Blockchain R&D HubCo-Founder Chairman of the BoardOct 2016 - Aug 2017"
263,"Farbood Nivi","GrockitFounder2006-2012"
264,"Bobby Lee","Walmart -China e-CommerceVP of Technology2011-2012"
265,"Bobby Lee","Standford Club of ShanghaiBoard Member -Treasurerer2011-2014"
266,"Bobby Lee","BTCCCo-Founder and CEO2013-2018"
267,"Jeffrey Wilcke","Agile PandasPanda"
268,"Jeffrey Wilcke","StudyFlowCTRTFM"
269,"Jeffrey Wilcke","Ethereum Co-Founder2013-2018"
270,"Anthony Di lorio","KryptokitCEO & Founder2013-2015"
271,"Anthony Di lorio","Ethereum Co-Founder2013-2015"
272,"Anthony Di lorio","MaRS Discovery DistrictAdvisor to Fintech Cluster2015-2016"
273,"Anthony Di lorio","Toronto Stock ExchangeChief Digital Officer2016"
274,"Gavin Anderson","Gravity SwitchCode monkey2004-2007"
275,"Gavin Anderson","University of Massachusetts AmherstSoftware Guy2007-2009"
276,"Gavin Anderson","TruCoinLead Core Bitcoin Developer2011"
277,"Pierre Rochard","DeloitteSecuritization Consultant2013-2014"
278,"Pierre Rochard","Bitpay Wallet Staff Accountant2014-2015"
279,"Pierre Rochard","Hudson River TradingSenior Accountant / Programmer2015-2016"
280,"Emin Gün Sirer","bloXroute LabsFounder2017-2019"
281,"Manish Kataria","CognizantStrategy Consultant2014-2018"
282,"Jimmy Song","Armory Technologies -Inc.VP of Engineering2014-2016"
283,"Jimmy Song","Paxos Standard Principal Architect2016-2018"
284,"Julian Kopald","SpartanFounder2006-2013"
285,"Julian Kopald","1FX Pay - Founder2013-2019"
286,"Kristina Lucrezia Cornèr","Global Entrepreneurship NetworkSenior Manager for Partnerships and PR2012-2014"
287,"Kristina Lucrezia Cornèr","Union of Entreprises for Energy Efficiency and EcologyCommunications Manager2011-2016"
288,"Steve Ehrlich","Honos Financial -LLCCEO2013"
289,"Ivan Liljeqvist","FramgångspoddenSoftware Developer2016-2017"
290,"Ivan Liljeqvist","SOON appSoftware Developer2017"
291,"Virgil Griffith","TorokenTechnical Product Manager2014"
292,"Virgil Griffith","National University of SingaporeResearch Fellow2015-2016"
293,"Virgil Griffith","Singapore-MIT Alliance for Research & Technology CentrePostdoctoral Fellow2016-2017"
294,"Brad Garlinghouse","HightailCEO2012-2014"
295,"Brad Garlinghouse","Ancestry.comBoard Member2013-2016"
296,"Brad Garlinghouse","Tonic HealthBoard Member2011-2016"
297,"Brad Garlinghouse","AnimotoBoard Member2012-2017"
298,"Roger Ver","Memory DealersCEO1999-2012"
299,"Brendan Blumer","GamecliffFounder2001-2005"
300,"Brendan Blumer","Okay.comFounder2009-2013"
301,"Brendan Blumer","ii5CEO & Founder2013-2017"
302,"Peter McCormack","Evolving Media NetworkManging Director2007-2009"
303,"Peter McCormack","Rapier UKHead of Digital2009-2012"
304,"Peter McCormack","Bantr.tvCEO2010-2015"
305,"Peter McCormack","McCormack & MorrisonPartner2009-2016"
306,"Adam Todd","BetfairTrader2002-2009"
307,"Adam Todd","RacingTraders.comCEO & Founder2004-2009"
308,"Adam Todd","EWMReal Estate Marketing2011-2014"
309,"Mahbod Moghadam","Dewey & LeBoeuf LLPAttorney2008-2009"
310,"Mahbod Moghadam","GENIUSCo-founder2009-2014"
311,"Mahbod Moghadam","Everipedia Co-founder & Chief Community Officer2015-2019"
312,"Andrew Yang","Davis Polk & Wardwell LLPAssociate1999-2000"
313,"Andrew Yang","Stargiving.comCo-Founder -President2000-2001"
314,"Andrew Yang","Crisp WirelssVice President2001-2002"
315,"Andrew Yang","Manhattan GMATCEO -President -Managing Director2006-2011"
316,"David Schwartz","CardiophonicsPartner1992-1995"
317,"David Schwartz","Internet Gateway ConnectionsDirector of Network Services1995-1996"
318,"David Schwartz","Worldwide Internet SolutionsSenior Network Engineer1996-1998"
319,"David Schwartz","WebMaster IncroporatedCTO2001-2011"
320,"Kelly Loeffler","William BlairEquity Research Associate1999-2001"
321,"Kelly Loeffler","The Crossroads GroupInvestor Relations2001-2002"
322,"Kelly Loeffler","Intercontinental ExchangeChief Communications & Marketing Officer2002-2018"
323,"Justin Sunerok","Crypto Fantasy SportsBlockchain Engineer2016"
324,"Anthony Xie","BEDCManagement Consultant2015-2016"
325,"Anthony Xie","VidyardGrowth Engineer2016-2018"
326,"Ben Delo","JPMorgan Vice President2012-2015"
327,"Vignesh Sundaresan","Bitaccess Inc.CEO2013-2016"
328,"Camila Russo","International News ReporterEl Mercurio2007-2008"
329,"Camila Russo","BloombergEmerging Markets Reporter2011-2015"
330,"Camila Russo","BloombergEuropean Stocks Reporter2015-2016"
331,"Camila Russo","BloombergMarkets Blogger2016-2019"
332,"Soravis Srinawakoon","EricssonSoftware Engineer2012"
333,"Soravis Srinawakoon","Stanford UniversityTeaching Assistant2012-2014"
334,"Soravis Srinawakoon","The Boston Consulting GroupManagement Consultant2015-2017"
335,"Lennix Lai","CASH Financial Services Group (00510.HK) - Director -Strategic Business Development2014-2015"
336,"Lennix Lai","CASH Financial Services Group (00510.HK) - Responsible Officer2015-2017"
337,"Samson Mow","Sitemasher CorporationBusiness and Operations Manager2007-2009"
338,"Samson Mow","UbisoftDirector of Production2009-2011"
339,"Samson Mow","BTCCCOO2015-2017"
340,"Jed McCaleb","MetaMachineFounder & CTO2000-2005"
341,"Jed McCaleb","Code CollectiveFounder2007-2009"
342,"Jed McCaleb","Mt. Gox Co-Founder2007-2014"
343,"Jed McCaleb","Ripple Founder2011-2013"
344,"Andreas Antonopoulos","Greenwich Technology PartnersSecurity Practice Lead2001-2002"
345,"Andreas Antonopoulos","ThruPoint -Inc.Director2002-2003"
346,"Andreas Antonopoulos","Nemeretes ResearchPartner2003-2011"
347,"Balaji Srinivasan","Andreessen Horowitz Board Partner2015-2018"
348,"Balaji Srinivasan","Earn.comCEO & Co-Founder2017-2018"
349,"Balaji Srinivasan","Coinbase CTO2018-2019"
350,"Simon Yu","AmazonFinancial Analyst Intern2012-2013"
351,"Simon Yu","KeyBankSenior Credit Risk Analyst2014-2015"
352,"Gavin Wood","OxLegalDirector of Technology2013-2014"
353,"Gavin Wood","Ethereum Foundation Co-Founder and CTO2013-2015"
354,"Jesus Rodriguez","TwoConnectChief Architect2007-2008"
355,"Jesus Rodriguez","Tellago StudiosCEO & Co-Founder2010-2012"
356,"Jesus Rodriguez","Tellago -IncManaging Partner2008-2015"
357,"W. Scott Stornetta","Columbia High SchoolAP Calculus / AP Computer Science Teacher2006-2018"
358,"W. Scott Stornetta","First Digital CapitalChief Scientist2018"
359,"J. Christopher Giancarlo","Giancarlo & GleibermanPartner1992-1997"
360,"J. Christopher Giancarlo","Thelen Reid Brown Ryaysman & Steiner LLPPartner1997-2000"
361,"J. Christopher Giancarlo","Fenics SoftwareVice President and Legal Counsel2000-20001"
362,"J. Christopher Giancarlo","GFI Group Inc.Executive Vice President2001-2014"
363,"Arry Yu","GiftStarterCEO | Co-Founder2014-2017"
364,"Joe Roets","Symbiont.ioSenior Vice President - Engineering2014-2015"
365,"Joe Roets","The Walt Disney CompanySr. Software Architect / Principal Blockchain Arcitect2014-2017"
366,"Joe Roets","Bloq -Inc.Principal Blockchain Architect2017"
367,"Carlos Domingo","duChief New Business and Innovation Officer2015-2017"
368,"Carlos Domingo","Dubai Angel InvestorsFounding Member and Investment Committee Member2016-2018"
369,"Carlos Domingo","TechStarsEntrepreneur In Residence2017-2018"
370,"Lili Zhao","VETRIAdvisor2017-2018"
371,"Lili Zhao","MedMira Inc.Board Member at MedMira2018"
372,"Lili Zhao","Crypto Valley AssociationMember of the Board of Directors2019-2020"
373,"Udi Wertheimer","eBayFull Stack Software Engineer2014-2015"
374,"Udi Wertheimer","PayPalFull Stack Software Engineer2015-2016"
375,"Udi Wertheimer","ColuBlockchain Research Lead2016-2017"
376,"Raoul Pal","NatWest MarketsDirector1995-1998"
377,"Raoul Pal","Goldman Sachs Head of European Hedge Fund Sales1997-2001"
378,"Raoul Pal","GLG PartnersPortfolio Manager2001-2004"
379,"Philip Salter","BSI Business Systems Integration AGSoftware Developer2012-2014"
380,"Philip Salter","Blockchain Consulting GmbHHead of Mining Operations2016-2019"
381,"Ryan Selkis","TBI ConsultingFounder2013-2014"
382,"Ryan Selkis","Digital Currency Group Director of Growth2014-2016"
383,"Ryan Selkis","CoinDeskManaging Director2016-2017"
384,"Adam Cochran","Dogecoin Marketing & Community2014-2015"
385,"Carylyne Chan","Singapore Management UniversityResearch and Teaching Assistant2012-2014"
386,"Carylyne Chan","AGT InternationalWater Business Unit2014"
387,"Carylyne Chan","KeyReplyCo-Founder & COO2014-2018"
388,"Ross Ulbricht","Pennsylvania State UniversityGraduate Research Assistant2006-2008"
389,"Ross Ulbricht","Good Wagon BooksCEO2010-2011"
390,"Sam Bankman-Fried","Jane StreetTrader2014-2017"
391,"Sam Bankman-Fried","The Centre for Effective AltruismDirector of Development2017"
392,"Lynn Liss","ICO Impact GroupFounding Partner2018"
393,"Jay Hao","Amedia NetworksVP Engineering - "
394,"Jay Hao","Unichip TechnologyCEO - "
395,"Jay Hao","Nurotech IncChairman - "
396,"Jay Hao","Zhejiang Youwei Optical Electronics Inc VP Marketing - "
397,"Jay Hao","Hormones live IncChairman - "
398,"Jay Hao","Shenzhen Unicorn Software IncChairman - "
399,"Alysa Xu","International Trust Company Limited2013 - 2016"
400,"Alysa Xu","Investment Division Zhongrong Assistant General Manager of the Private Equity - "
401,"Alysa Xu","Tianfeng Securities Blockchain Research CenterResearch Head2016 - 2019"
402,"Joel Edgerton","MUSAION INCFounder and CEO2006-2007"
403,"Joel Edgerton","BNP ParibasGlobal Head of CIB Due Diligence - KYC2012-2014"
404,"Joel Edgerton","BNP Paribas CardifCOO / CDO2014-2019"
405,"Ethan Vera","Goldman Sachs Investment Banking Analyst2018-2019"
406,"John deVadoss","Microsoft DigitalGeneral Manager2011-2016"
407,"John deVadoss","text11Co-Founder2016-2018"
408,"John deVadoss","buildpulseCTO2018"
409,"Brian Armstrong","IBMInterm Team Lead2003"
410,"Brian Armstrong","Deloitte & ToucheConsultant2005"
411,"Brian Armstrong","UniversityTutor.comCEO & Founder2003-2012"
412,"Brian Armstrong","AirBnBSoftware Engineer2011-2012"
413,"Ken Kodama","K2 G.K.Founder & CEO2010-2012"
414,"Ken Kodama","Attain Corporation Co. Ltd.Founder & CEO2014-2015"
415,"Dawn Song","Carnegie Mellon UniversityProfessor2002-2007"
416,"Avi Felman","CryptoSlate Analyst2018"
417,"Ajit Tripathi","ConsenSys Partner -Fintech2017-2019"
