"id","company_name","support"
137,"Fidelity Investments","Wiki/FAQ:https://www.fidelity.com/faqs/overview"
138,"Fidelity Investments","Tel: 800-972-2155:tel://800-972-2155"
139,"Fidelity Investments","Support Website:https://www.fidelitydigitalassets.com/contact-us/overview"
140,"Genesis Mining","Wiki/FAQ:https://www.genesis-mining.com/customer-service"
141,"Genesis Mining","contact@genesis-mining.com:mailto:contact@genesis-mining.com"
142,"Real Time Crypto","RTCpartnerships@gmail.com:mailto:RTCpartnerships@gmail.com"
143,"Poloniex","Wiki/FAQ:https://poloniex.freshdesk.com/support/home"
144,"Poloniex","Support Website:https://poloniex.com/contact"
145,"Digital Ark","contact@digitalark.com:mailto:contact@digitalark.com"
146,"Digital Ark","Support Website:https://digitalark.com/#contact"
147,"Openledger","contact@openledger.info:mailto:contact@openledger.info"
148,"Openledger","Support Website:https://openledger.freshdesk.com/support/home"
149,"Kraken","Wiki/FAQ:https://www.kraken.com/en-us/help/faq"
150,"Kraken","support@kraken.com:mailto:support@kraken.com"
151,"Kraken","Support Website:https://support.kraken.com/hc/en-us"
152,"CryptoPanic","kaspars@cryptopanic.com:mailto:kaspars@cryptopanic.com"
153,"CryptoPanic","Support Website:https://cryptopanic.com/contact/"
154,"Bitstamp","Wiki/FAQ:https://www.bitstamp.net/faq/"
155,"Bitstamp","Tel: +44 20 3868 9628:tel://+44 20 3868 9628"
156,"Bitstamp","info@bitstamp.net:mailto:info@bitstamp.net"
157,"Hyperledger","info@hyperledger.org:mailto:info@hyperledger.org"
158,"Sydney Blockchain Centre","info@sydblockchaincentre.com.au:mailto:info@sydblockchaincentre.com.au"
159,"Sydney Blockchain Centre","Support Website:https://www.sydblockchaincentre.com/contact"
160,"Goldman Sachs","Wiki/FAQ:https://www.goldmansachs.com/investor-relations/faqs/"
161,"Goldman Sachs","Tel: 1-212-902-0300:tel://1-212-902-0300"
162,"Goldman Sachs","gs-investor-relations@gs.com:mailto:gs-investor-relations@gs.com"
163,"IBM Blockchain","Wiki/FAQ:https://ibm-blockchain.github.io/"
164,"IBM Blockchain","Support Website:https://www.ibm.com/contact/us/en/"
165,"Bithumb","Wiki/FAQ:https://www.bithumb.com/u1/US170"
166,"Bithumb","Tel: +82-1661-5551:tel://+82-1661-5551"
167,"Bithumb","Support Website:https://www.bithumb.com/u1/US101/"
168,"Digital Asset Management","Tel: +350 200 73337:tel://+350 200 73337"
169,"Digital Asset Management","info@dam.gi:mailto:info@dam.gi"
170,"Digital Asset Management","Support Website:https://www.dam.gi/contact/"
171,"BitGo","Wiki/FAQ:https://bitgo.freshdesk.com/support/solutions/folders/27000003984"
172,"BitGo","media@bitgo.com:mailto:media@bitgo.com"
173,"BitGo","Support Website:https://www.bitgo.com/info/contact"
174,"Conversion Wizards","Tel: (650) 761 2620:tel://(650) 761 2620"
175,"Conversion Wizards","jasper@theconversionwizards.com:mailto:jasper@theconversionwizards.com"
176,"Chainalysis","Tel: 415-316-4371:tel://415-316-4371"
177,"Chainalysis","info@chainalysis.com:mailto:info@chainalysis.com"
178,"Chainalysis","Support Website:https://www.chainalysis.com/contact.html"
179,"Blockchain, Inc.","Wiki/FAQ:https://support.blockchain.com/hc/en-us/categories/201149143-Educational-Resources"
180,"Blockchain, Inc.","social@blockchain.info:mailto:social@blockchain.info"
181,"Blockchain, Inc.","Support Website:https://support.blockchain.com/hc/en-us"
182,"BlockVC","business@blockvc.fund:mailto:business@blockvc.fund"
183,"Node Capital","Tel: 010-8217-6160:tel:// 010-8217-6160"
184,"Node Capital","partner@nodecap.com:mailto:partner@nodecap.com"
185,"Blockchain Capital","Tel: +1 (415) 677-5340:tel://+1 (415) 677-5340"
186,"Blockchain Capital","contact@blockchaincapital.com:mailto:contact@blockchaincapital.com"
187,"Blockchain Capital","Support Website:http://blockchain.capital/contact/"
188,"Andreessen Horowitz","businessplans@a16z.com:mailto:businessplans@a16z.com"
189,"Pantera Capital","Tel: +1 650 854 7000:tel://+1 650 854 7000"
190,"Pantera Capital","ir@panteracapital.com:mailto:ir@panteracapital.com"
191,"Pantera Capital","Support Website:http://info.panteracapital.com/invest"
192,"Digital Currency Group","Support Website:https://dcg.co/contact/"
193,"CrowdfundX","Support Website:https://www.crowdfundx.io/#ajax-contact_div"
194,"Gresham International","Tel: +1 (307) 298 0064 US:tel://+1 (307) 298 0064 US"
195,"Bitmain","Wiki/FAQ:https://service.bitmain.com/support"
196,"Bitmain","Tel: +65-3138-9024:tel://+65-3138-9024"
197,"Bitmain","info@bitmaintech.com:mailto:info@bitmaintech.com"
198,"Bitmain","Support Website:https://support.bitmain.com/hc/en-us/requests/new"
199,"Omise","Wiki/FAQ:https://www.omise.co/support"
200,"Omise","Support Website:https://www.omise.co/contact"
201,"Coin Center","contact@coincenter.org:mailto:contact@coincenter.org"
202,"Reflective Ventures","Tel: 206-775-8266:tel://206-775-8266"
203,"Reflective Ventures","info@reflectiveventures.io:mailto:info@reflectiveventures.io"
204,"Reflective Ventures","Support Website:https://www.reflectiveventures.io/get-funding/"
205,"Blockchain Transparency Institute","Support Website:https://www.blockchaintransparency.org/contact/"
206,"Coinme","Wiki/FAQ:https://www.coinme.com/faq"
207,"Coinme","Tel: +1 800-944-3405:tel://+1 800-944-3405"
208,"Coinme","support@coime.com:mailto:support@coime.com"
209,"Coinme","Support Website:https://coinme.freshdesk.com/support/home"
210,"Arrington XRP Capital","contact@arringtonxrpcapital.com:mailto:contact@arringtonxrpcapital.com"
211,"Pithia","Wiki/FAQ:https://pithia.com/index.php/purpose-principles/for-new-entrepreneurs"
212,"Pithia","services@pithia.com:mailto:services@pithia.com"
213,"New Alchemy","Support Website:https://newalchemy.io/"
214,"Bloccelerate","info@bloccelerate.com:mailto:info@bloccelerate.com"
215,"CryptoLaw Partners","Support Website:https://cryptolawpartners.com/contact"
216,"MarketAcross","Tel: +972.54.638.0521:tel://+972.54.638.0521"
217,"MarketAcross","info@marketacross.com:mailto:info@marketacross.com"
218,"MarketAcross","Support Website:https://marketacross.com/#contact-us"
219,"Skew","contact@skew.com:mailto:contact@skew.com"
220,"Xpring","Wiki/FAQ:https://xpring.io/faq"
221,"Xpring","contactxpring@ripple.com:mailto:contactxpring@ripple.com"
222,"Transparent Systems","info@transparentsystems.com:mailto:info@transparentsystems.com"
223,"MyCointainer","Wiki/FAQ:https://www.mycointainer.com/faq/"
224,"MyCointainer","support@mycointainer.com:mailto:support@mycointainer.com"
225,"MyCointainer","Support Website:https://www.mycointainer.com/company/#contacts"
226,"Lightning Labs","Wiki/FAQ:https://lightning.engineering/index.html#faq"
227,"Lightning Labs","hello@lightning.engineering:mailto:hello@lightning.engineering"
228,"YAP Global","Support Website:https://yapglobal.com/contact/"
229,"#Hashed","Support Website:https://www.hashed.com/contact/"
230,"Truffle","Wiki/FAQ:https://www.trufflesuite.com/docs"
231,"Truffle","inquiry@trufflesuite.com:mailto:inquiry@trufflesuite.com"
232,"ShortHop","Wiki/FAQ:https://shorthop.zendesk.com/"
233,"ShortHop","info@shorthop.com:mailto:info@shorthop.com"
234,"ShortHop","Support Website:https://shorthop.zendesk.com/"
235,"ZenLedger","hello@zenledger.io:mailto:hello@zenledger.io"
236,"Huobi Global","Wiki/FAQ:https://huobiglobal.zendesk.com/hc/en-us"
237,"Huobi Global","support@huobi.pro:mailto:support@huobi.pro"
238,"Stellar Development Foundation","Wiki/FAQ:https://www.stellar.org/community/faq/"
239,"Stellar Development Foundation","Support Website:https://www.stellar.org/contact"
240,"BW.com","Wiki/FAQ:https://www.bw.com/FAQ"
241,"BW.com","support@bw.com:mailto:support@bw.com"
242,"BW.com","Support Website:https://t.me/BW_support"
243,"TravelbyBit","Wiki/FAQ:https://travelbybit.com/faq"
244,"TravelbyBit","Support Website:https://travelbybit.com/contact-us"
245,"Conflux","Wiki/FAQ:https://www.conflux-chain.org/faqs/"
246,"dex.blue","contact@dex.blue:mailto:contact@dex.blue"
247,"IOTA Foundation","Wiki/FAQ:https://www.iota.org/get-started/faqs"
248,"IOTA Foundation","contact@iota.org:mailto:contact@iota.org"
249,"ZBG","Wiki/FAQ:https://zbg.zendesk.com/hc/en-us/categories/900000008323-Miscellaneous"
250,"ZBG","sp@zbg.com:mailto:sp@zbg.com"
251,"ZBG","Support Website:https://zbg.zendesk.com/hc/en-us/requests/new"
252,"ZB.com","Wiki/FAQ:https://www.zb.com/help/guides"
253,"ZB.com","support@zb.cn:mailto:support@zb.cn"
254,"BaseFEX","Wiki/FAQ:https://www.basefex.com/docs/faq"
255,"BaseFEX","support@basefex.com:mailto:support@basefex.com"
256,"BaseFEX","Support Website:https://www.basefex.com/docs/support"
257,"Blox","Wiki/FAQ:https://www.blox.io/support/faq/"
258,"Blox","Support Website:https://www.blox.io/support/"
259,"ChangeNOW","Wiki/FAQ:https://changenow.io/faq"
260,"ChangeNOW","support@changenow.io:mailto:support@changenow.io"
261,"ChangeNOW","Support Website:https://support.changenow.io/hc/en-us"
262,"PrimeBit","Wiki/FAQ:https://support.primebit.com/hc/en-001/sections/360002457460-FAQ"
263,"PrimeBit","Support Website:https://support.primebit.com/hc/en-001"
264,"Decoin","Wiki/FAQ:https://www.decoin.io/en/support#faq"
265,"Decoin","support@decoin.io:mailto:support@decoin.io"
266,"Decoin","Support Website:https://www.decoin.io/en/support/home"
267,"Bitcoin of America","Wiki/FAQ:https://www.bitcoinofamerica.org/faq.php"
268,"Bitcoin of America","Tel: 888-502-5003:tel://888-502-5003"
269,"Bitcoin of America","helpdesk@bitcoinofamerica.org:mailto:helpdesk@bitcoinofamerica.org"
270,"Bitcoin of America","Support Website:https://www.bitcoinofamerica.org/contact.php"
271,"FTX","Support Website:https://help.ftx.com/hc/en-us/articles/360028737592-How-to-contact-us"
272,"Bitwise","Wiki/FAQ:https://www.bitwiseinvestments.com/faq"
273,"Bitwise","team@bitwiseinvestments.com:mailto:team@bitwiseinvestments.com"
274,"Bitwise","Support Website:https://www.bitwiseinvestments.com/professionals"
275,"TokenMinds","team@tokenminds.co:mailto:team@tokenminds.co"
276,"TokenMinds","Support Website:https://wa.me/61468401509"
277,"TokenAnalyst","info@tokenanalyst.io:mailto:info@tokenanalyst.io"
278,"Bitcoin Club Malta","contact@bitcoinclub.mt:mailto:contact@bitcoinclub.mt"
279,"BitCoke","Wiki/FAQ:https://www.bitcoke.com/course/D6E0696D64CC528085013ADC53FFC789"
280,"BitCoke","support@bitcoke.com:mailto:support@bitcoke.com"
281,"Coinfirm","Tel: +44 203 608 6249:tel://+44 203 608 6249"
282,"Coinfirm","contact@coinfirm.com:mailto:contact@coinfirm.com"
283,"WTIA Cascadia Blockchain Council","Wiki/FAQ:https://www.washingtontechnology.org/about/#faq"
284,"WTIA Cascadia Blockchain Council","Tel: 206.448.3033:tel://206.448.3033"
285,"WTIA Cascadia Blockchain Council","info@washingtontechnology.org:mailto:info@washingtontechnology.org"
286,"WTIA Cascadia Blockchain Council","Support Website:https://www.washingtontechnology.org/blockchain/"
287,"Ripple","Wiki/FAQ:https://ripple.com/faq/"
288,"Ripple","support@ripple.com:mailto:support@ripple.com"
289,"Ripple","Support Website:https://ripple.com/contact/#sales"
290,"EAK Digital","Tel: 020 3856 3922:tel://020 3856 3922"
291,"EAK Digital","hello@eakdigital.com:mailto:hello@eakdigital.com"
292,"EAK Digital","Support Website:https://eakdigital.com/get-in-touch/"
293,"R3","Wiki/FAQ:https://www.r3.com/wp-content/uploads/2018/09/US_18_R3_FS_v7.pdf"
294,"R3","Tel: 1 646 630 7421:tel://1 646 630 7421"
295,"R3","lrcbusinessdev@r3cev.com:mailto:lrcbusinessdev@r3cev.com"
296,"R3","Support Website:https://www.r3.com/contact-us/"
297,"Band Protocol","connect@bandprotocol.com:mailto:connect@bandprotocol.com"
298,"Messari","support@messari.io:mailto:support@messari.io"
299,"Blockstream","inquiries@blockstream.com:mailto:inquiries@blockstream.com"
300,"Overbit","Wiki/FAQ:http://help.overbit.com/en/collections/2180998-faq"
301,"Overbit","support@overbit.com:mailto:support@overbit.com"
302,"Overbit","Support Website:https://www.overbit.com/en/support"
303,"OpenCrowd","Tel: 212 768 1730:tel://212 768 1730"
304,"OpenCrowd","info@opencrowd.com:mailto:info@opencrowd.com"
305,"OpenCrowd","Support Website:https://opencrowd.com/contact"
306,"LunarCRUSH","Wiki/FAQ:https://intercom.help/lunarcrush/en/"
307,"CryptoLocally","Wiki/FAQ:https://cryptolocally.com/en/eos/how-to"
308,"CryptoLocally","admin@cryptolocally.com:mailto:admin@cryptolocally.com"
309,"CryptoLocally","Support Website:https://cryptolocally.com/en/contact"
310,"Draper Goren Holm","Support Website:https://drapergorenholm.com/contact"
311,"Centrifuge","hello@centrifuge.io:mailto:hello@centrifuge.io"
312,"Digital Assets Data","contact@digitalassetsdata.com:mailto:contact@digitalassetsdata.com"
313,"Gemini","Wiki/FAQ:https://gemini24.zendesk.com/hc/en-us"
314,"Gemini","Tel: +1 (866) 240-5113:tel://+1 (866) 240-5113"
315,"Gemini","hello@gemini.com:mailto:hello@gemini.com"
316,"Gemini","Support Website:https://gemini24.zendesk.com/hc/en-us/requests/new"
317,"Neo Foundation","contact@neo.org:mailto:contact@neo.org"
318,"TaxBit","Wiki/FAQ:https://taxbit.com/features"
319,"TaxBit","support@taxbit.com:mailto:support@taxbit.com"
320,"TaxBit","Support Website:https://help.taxbit.com/hc/en-us"
321,"Santiment","support@santiment.net:mailto:support@santiment.net"
322,"Securitize","Tel: +1 415-413-8993:tel://+1 415-413-8993"
323,"Securitize","Support Website:https://www.securitize.io/contact"
324,"OKCoin","Wiki/FAQ:https://www.okcoin.com/account/users/support"
325,"OKCoin","support@okcoin.com:mailto:support@okcoin.com"
326,"OKCoin","Support Website:https://www.okcoin.com/contact-us.html"
327,"Celsius Network","Wiki/FAQ:https://support.celsius.network/hc/en-us"
328,"Celsius Network","Tel: 1-201-824-2888:tel://1-201-824-2888"
329,"CipherTrace","Tel: 650-542-0020:tel://650-542-0020"
330,"CipherTrace","contact@ciphertrace.com:mailto:contact@ciphertrace.com"
331,"CipherTrace","Support Website:https://ciphertrace.com/contact/"
332,"bitFlyer","Wiki/FAQ:https://bitflyer.com/en-us/faq"
333,"bitFlyer","info.us@bitflyer.com:mailto:info.us@bitflyer.com"
334,"bitFlyer","Support Website:https://bitflyer.com/en-us/contact"
335,"SIBEX","info@sibex.io:mailto:info@sibex.io"
336,"EMURGO","Support Website:https://emurgo.io/#/en/contact#get-in-touch"
337,"SwapSpace","Wiki/FAQ:https://swapspace.co/faq"
338,"SwapSpace","support@swapspace.co:mailto:support@swapspace.co"
339,"Crypto.Games","Wiki/FAQ:https://crypto.games/faq"
340,"Crypto.Games","support@crypto.games:mailto:support@crypto.games"
341,"Crypto.Games","Support Website:https://cryptogames.zendesk.com/"
342,"Compound","Wiki/FAQ:https://medium.com/compound-finance/faq-1a2636713b69"
343,"YouHodler","support@yoouhodler.com:mailto:support@yoouhodler.com"
344,"Phemex","Wiki/FAQ:https://phemex.com/references/categories/faq"
345,"Phemex","support@phemex.com:mailto:support@phemex.com"
346,"Phemex","Support Website:https://phemex.com/references/articles/phemex-terms-of-use"
347,"Sportsbet.io","Wiki/FAQ:https://sportsbet.io/support/faq"
348,"Sportsbet.io","cs@sportsbet.io:mailto:cs@sportsbet.io"
349,"Nym","Wiki/FAQ:https://nymtech.net/#faq"
350,"Nym","contact@nymtech.net:mailto:contact@nymtech.net"
351,"Nym","Support Website:https://nymtech.net/contact"
352,"Bitfinex","Wiki/FAQ:https://support.bitfinex.com/hc/en-us"
353,"Bitfinex","support@bitfinex.com:mailto:support@bitfinex.com"
354,"Bitfinex","Support Website:https://www.bitfinex.com/support"
355,"Bityard","Wiki/FAQ:https://support.bityard.com/hc/en-us/categories/360002627552-FAQ"
356,"Bityard","bd@bityard.com:mailto:bd@bityard.com"
357,"Bityard","Support Website:https://support.bityard.com/hc/en-us/articles/360040261971-Contact-Us"
358,"Solana","Wiki/FAQ:https://solana.com/faqs/"
359,"Switchere","Wiki/FAQ:https://en.bitcoinwiki.org/wiki/Switchere"
360,"Switchere","customercare@switchere.com:mailto:customercare@switchere.com"
361,"Switchere","Support Website:https://switchere.com/contact"
362,"Bittrex","Wiki/FAQ:https://support.bittrex.com/hc/en-us"
363,"Bittrex","media@bittrex.com:mailto:media@bittrex.com"
364,"Bittrex","Support Website:https://support.bittrex.com/hc/en-us/articles/360001318332"
365,"XBTPro","Wiki/FAQ:https://help.xbtpro.com/support/home"
366,"XBTPro","support@xbtpro.com:mailto:support@xbtpro.com"
367,"Exolix","Wiki/FAQ:https://exolix.com/faq"
368,"Exolix","support@exolix.com:mailto:support@exolix.com"
369,"Exolix","Support Website:https://exolix.com/contact"
370,"mStable","info@mstable.org:mailto:info@mstable.org"
371,"CryptoAltum","Wiki/FAQ:https://cryptoaltum.com/en/account-opening"
372,"CryptoAltum","support@cryptoaltum.com:mailto:support@cryptoaltum.com"
373,"CryptoAltum","Support Website:https://t.me/CryptoAltumGeneral_bot"
374,"CryptoSlate","Wiki/FAQ:https://cryptoslate.com/faq"
375,"CryptoSlate","hello@cryptoslate.com:mailto:hello@cryptoslate.com"
376,"CryptoSlate","Support Website:https://cryptoslate.com/contact/"
377,"EZPostage","Wiki/FAQ:https://ezpostage.io/faq"
378,"EZPostage","support@ezpostage.io:mailto:support@ezpostage.io"
379,"Cryptonites","clarisse@swissborg.com:mailto:clarisse@swissborg.com"
380,"Crypto Briefing","Tel: +1 (312) 566-7423:tel://+1 (312) 566-7423"
381,"Crypto Briefing","info@cryptobriefing.com:mailto:info@cryptobriefing.com"
382,"NSBroker","Wiki/FAQ:https://nsbroker.com/glossary"
383,"NSBroker","Tel: +356(27)78-15-65:tel://+356(27)78-15-65"
384,"NSBroker","help@nsbroker.com:mailto:help@nsbroker.com"
385,"NSBroker","Support Website:https://nsbroker.com/contact-us"
386,"1xBit","Wiki/FAQ:https://refpaexhil.top/L?tag=d_475799m_1732c_Ls&site=475799&ad=1732&r=information/contacts/"
