"id","product_name","feature"
77,"Crypto Pro","Complications update every 15 mins"
78,"Crypto Pro","Customizable complications for every watch face"
79,"Crypto Pro","Displays 4-20 favorite cryptocurrencies"
80,"Crypto Pro","Customizable app icons"
81,"Crypto Pro","Price & volume history graphs"
82,"Crypto Pro","Portfolio analytics"
83,"Crypto Pro","FaceID -  TouchID or passcode lock"
84,"Crypto Pro","News section for every coin"
85,"Crypto Pro","Customizable price alerts"
86,"Crypto Pro","Dark and light mode"
87,"Crypto Pro","Display portfolio overview"
88,"Crypto Pro","Updates every time you view the widget"
89,"Crypto Pro","Displays 2-10 favorite cryptocurrencies"
90,"Crypto Pro","Via exchange API keys"
91,"Crypto Pro","Via wallet addresses"
92,"Crypto Pro","No user monitoring or analytics"
93,"Crypto Pro","Backup/sync via your iCloud or Dropbox account"
94,"Crypto Pro","All your personal data is stored on your device"
95,"Algomate Trading Platform","Binance – Bitfinex – Bitstamp – Bittrex – BitZ – CoinBasePro – Gemini – HitBTC – Huobi – Kraken – OKEX – Poloniex"
96,"Algomate Trading Platform","AlgoMate ingests price feeds on all tickers available from cryptocurrency exchanges. Supported Exchanges:Binance – Bitfinex – Bitstamp – Bittrex – BitZ – CoinBasePro – Gemini – HitBTC – Huobi – Kraken – OKEX – Poloniex"
97,"Algomate Trading Platform","Algomate can manage deploy systems to help you navigate exchange systems to quickly and efficiently place difficult high frequency trades and circumnavigate geo restrictions to get your orders filled."
98,"Algomate Trading Platform","Export Trade History. View/Export trade history in one platform into a downloadable report."
99,"Algomate Trading Platform","Make Trades. Add your API keys to trade through the Algomate trading platform and utilize automated trading strategies."
100,"Algomate Trading Platform","Execute Complex Orders. Create: Market -  Limit -  Stop limit -  and other custom Complex Orders."
101,"Algomate Trading Platform","Manage Multiple Exchanges. Oversee and manage your balance across exchanges. you can see everything in one view rather than all of your separate accounts -  in a master view with your balances and orders across all exchanges"
102,"Algomate Trading Platform","Price Comparison Charts. Explore Price Data across multiple exchanges / view pries across multiple exchanges for discrepancies / on one chart."
103,"Algomate Trading Platform","Automated Strategies. Create automated strategies utilizing our C# application and web framework across one or multiple exchanges."
104,"BC.Game","Based on hash algorithm"
105,"Meme Factory","The Meme Marketplace – Where Memes can be bought -  sold -  and traded amongst users."
106,"Meme Factory","The DANK Registry – the token incentivized voting game which controls which submissions (and subsequent details) enter the marketplace."
107,"Meme Factory","DANK – the ERC20 token which powers the Dank Registry"
108,"Yoroi Wallet","Simple. Yoroi has been carefully designed and constructed to offer a great user experience."
109,"Yoroi Wallet","Fast. Yoroi is a light wallet for Cardano. There is no need to download the blockchain when you open the wallet. So you are ready to send and receive transactions right away."
110,"Yoroi Wallet","Secure. High-quality code -  thoroughly tested -  security audited and more to make sure that Yoroi works flawlessly. Private keys are encrypted and never shared with our servers or third party providers. In order to preserve your privacy -  Yoroi wallet does not even implement analytics."
111,"Daedalus","Configurable transaction assurance level monitoring -  allowing users to be sure when transactions become irreversible."
112,"Daedalus","Ada redemption is built directly into Daedalus and supports encrypted and unencrypted redemption certificates."
114,"Daedalus","Encrypted private keys and spending passwords -  offering protection against security threats such as malware."
115,"Quadency","Institutional Platform – For hedge funds and portfolio managers -  a private instance of Quadency’s institutional-grade trading platform can be customized and deployed in any infrastructure -  giving complete control over data and API keys to the client."
116,"Quadency","Market Data – Downloadable historical data for any custom needs – including OHLCV for over 3000 trading pairs -  in formats ranging from CSV to SQL dump and more."
117,"Quadency","Unified APIs – Use cases include algorithmic trading bots requiring real-time order books -  ticker and trade history. A single API integration allows you to send orders directly to the exchanges -  eliminating the need for custom one-off integrations."
118,"Quadency","Portfolio Monitoring – Automatic and real-time portfolio analytics dashboard for visualizing performance -  asset allocations and trading statistics."
119,"Quadency","Trading Platform – Professional grade trading platform with advanced charting and intuitive order management allows traders to manage their accounts from popular cryptocurrency exchanges."
120,"Cashbackcloud","Cashback for products and services"
121,"Cashbackcloud","Cashback Poker Cashback"
122,"Cashbackcloud","Cashback E-wallet"
123,"Cashbackcloud","Binary options"
124,"Cashbackcloud","Forex Cashback"
125,"Cashbackcloud","Crypto Cashback. Focuses on crypto traders and pays cashback for every crypto trade you make on the most popular crypto exchanges. Over 20 brokers and lots of products and ICOs."
126,"MonsterEOS.io","Monster market"
127,"MonsterEOS.io","Battles"
128,"Cash App","Free debit card"
129,"Cash App","Buy and Sell Bitcoin from the App"
130,"Cash App","Make your first payment within minutes"
131,"Cash App","Protect payments with Face ID -  Touch ID -  or a passcode"
132,"Ethermium","Launch ICOs on exchange"
133,"Ethermium","Affiliate Program"
134,"Ethermium","Instant listing of new Tokens"
135,"Ethermium","Anonymous trading"
136,"Fishbank","Crypto fish price mainly depends on Weight -  Rariry -  Power -  Agility and Speed. For some it may be also very important fot a fish may have the same color of all of its “parts”."
137,"Fishbank","Fishbank is an open market game -  everyone may offer his crypto fish token for any price he want or consider fair."
138,"Fishbank","Your crypto fish token is worth right that amount of Ether that other players ready to transfer you in exchange for it."
139,"Fishbank","In order to play Fishbank game you need to have Google Chrome or Mozilla Firefox browser with installed MetaMask digital wallet (browser extension)."
140,"Fishbank","Every game asset is an ERC-721 token stored in the Ethereum network that can be sold or transferred just like any other cryptocurrency."
141,"BTC.com Wallet App","25+ currencies: USD -  EUR -  GBP -  CNY -  PAB -  ARS -  BoB -  CLP -  PEN -  PYG -  UYU -  VEF -  CRC -  MXN -  NGN -  INR."
142,"BTC.com Wallet App","10+ main languages: Spanish (Español) -  Dutch (Nederlands) -  Russian (русский) -  Japanese(日本語) -  Chinese(中文) -  Portuguese (Português) -  French (Français) -  Hindi (हिंदी) -  Korean(한국어) -  German (Deutsche) and Arabic (عربى)."
143,"BTC.com Wallet App","Customize your wallet with your profile picture."
144,"BTC.com Wallet App","Send bitcoin to your phone contacts directly without asking for their bitcoin address."
145,"BTC.com Wallet App","Send or receive bitcoin using QR codes."
146,"BTC.com Wallet App","Transaction history with full transaction details."
147,"BTC.com Wallet App","Create unlimited bitcoin addresses (HD)."
148,"BTC.com Wallet App","Enable 2-factor-authentication."
149,"BTC.com Wallet App","Master seed backup – one backup keeps your bitcoin safe forever."
150,"BTC.com Wallet App","2-of-3 multi-signature wallet."
151,"BTC.com Wallet App","Accelerated transactions – push your priority transactions directly to the BTC.com mining pool for super fast confirmation times."
152,"BTC.com Wallet App","Dynamic transaction fees – pay optimal transaction fee for the fastest transaction confirmation times at the best price."
153,"BTC.com Wallet App","Buy bitcoin directly from your wallet."
154,"BTC.com Wallet App","100% control of your private keys."
155,"BTC.com Wallet App","Bitcoin (BTC) & Bitcoin Cash (BCH) support."
156,"Circle Invest","Provides two-factor authentication and privacy protection to secure your information and funds."
157,"Circle Invest","“Explore” feature helps you learn about the market -  how coins differ and why they have value. It’s contextual -  relevant information about all things crypto."
158,"Circle Invest","Invest as little as $1."
159,"Circle Invest","Instant Deposits and Buys from your bank account."
160,"Circle Invest","11 Coins and Counting."
161,"Everipedia","Financial Incentive. All holders of IQ will be incentivized to create quality -  neutral content and to work together in building the reputation of the network."
162,"Everipedia","Censorship Resistant. Live and permanent edits of content on the blockchain beyond the control of a central authority."
163,"Everipedia","Democratic. Proof of Stake (PoS) model allows for voting to change and upgrade the IQ network as it grows. Also will facilitate batch imports of new content with no fees."
164,"Everipedia","Decentralized. Articles are fetched using IPFS and EOS Storage."
165,"EOS Knights","Trade in market. Materials and items can be traded on the market with EOS."
166,"EOS Knights","Adopt pets. 24 kinds of adorable pets are waiting for you."
167,"EOS Knights","Craft items. Craft items using materials according to recipe."
168,"EOS Knights","Collect materials. Collect 55 items of Nature -  Iron -  Bone -  Skin and Mineral."
169,"TronChat","Earn Tron. Open messages -  charge for follows -  premium content and much more."
170,"TronChat","Chat & Messaging. Send direct messages or join a chatroom."
171,"TronChat","Share Media. Pics -  videos -  stories and premium content."
333,"Antminer T9+","Noise level: Loud. Not for desk-top use. Sounds like a whiny vacuum."
172,"uPort","This mobile wallet is your connection to the uPort platform -  an interoperable identity network for a secure -  private -  decentralized web. uPort provides open protocols for decentralized identity and interoperable messaging that enable trusted source attribution for all web communication."
173,"uPort","Approve Ethereum transactions and digitally sign files."
174,"uPort","Manage your personal information and verifications."
175,"uPort","Securely log-in to applications without passwords."
176,"uPort","Create an identity on the Ethereum blockchain network."
177,"MLB Crypto Baseball","Provable Scarcity: Each ERC-721 NFT asset will be tracked on the blockchain along with its unique details and team information. It is possible to parse the chain data for all assets in existence and group assets by traits. With this -  users can independently verify collectible rarities and quantities. 2018 MLB Crypto Collectables will be 100% unique and not duplicatable in the future."
178,"MLB Crypto Baseball","Portability: MLB Crypto Baseball asset is a fully compliant ERC-721 item. Ownership and details about the asset will be recorded to the blockchain and will be available as long as Ethereum exists."
179,"MLB Crypto Baseball","Digital Sovereignty: As a fully compatible ERC-721 asset -  owners will have full control over their collectible."
180,"MLB Crypto Baseball","Immutable Ownership: All MLB Cryptos will have a unique immutable reference written to the Ethereum Blockchain. Once ownership is transferred to a user’s Ethereum address -  the smart contract will only allow that Ethereum address to perform transactions with that NFT."
181,"Minds","NODES. Build your own custom social network: Leverage our free and open source code to launch your own customized social network."
182,"Minds","PLUS. Unlock premium features for your channel: Hide all advertisements. Verify your channel. Access exclusive Minds content. Earn badges."
183,"Minds","WIRE. Exchange tokens with other channels: Send tokens to other channels as a tip or in exchange for content subscriptions or custom rewards. No commission -  no middleman."
184,"Minds","BOOST. Gain more views on your content: Exchange your tokens to promote your content to the full network or a specific channel’s audience. 1 token = 1000 views"
185,"Minds","REWARDS. Earn tokens for your contributions: We reward you for the energy you put in -  whether that is creating great content -  being active or helping develop our code."
186,"Minds","NEWSFEED. Contribute: Create popular original content that receives upvotes -  comments and reminds. Gain new subscribers. Refer your friends. Check-in. Develop code."
187,"CryptoCities","Fee Optimized: Low marketplace fees at 3.9% in order to grow long-term adoption. Gas usage as low as 30k to 50k for most transactions."
188,"CryptoCities","Your Funds: Cryptocities doesn’t hold your funds -  so we pay out all marketplace earnings immediately. This has been built directly into our smart contract."
189,"CryptoCities","Multiple Contracts: Cryptocities has a various smart contracts that implement different aspects of the game platform -  such as location ownership -  countries -  the marketplace and dividends -  city enhancement -  etc."
190,"CryptoCities","Increasing Utility: As the number of players grow -  locations will start to provide increasing utility."
191,"CryptoCities","Limited Supply: There is a limited supply of locations in CryptoCities. During the discovery process we validated the coordinates of each location -  ensuring that no duplicates existed -  and checked that they appeared in Google Maps. Locations can’t be changed or destroyed -  and less than 10 - 000 exist in the contract today."
192,"CryptoCities","Network Effect: A player that owns a location will automatically be able to use that location in every game that uses CryptoCities."
193,"CryptoCities","Developer Commissions: We believe developers should be rewarded for their work -  so they will receive commission for asset sales made via their games. This commission system is built directly into our Ethereum smart contract."
194,"CryptoCities","API: Other games will be able to integrate with CryptoCities via both the blockchain and a REST API. Using the API they will be able to query location -  ownership -  feature -  and points information."
195,"Everdragons","ERC-721 TOKEN. Every Everdragon is an ERC-721 Token -  embedded on the Ethereum Blockchain. The owner has the only key to this Everdragon. Everdragons can’t be deleted -  changed or taken away."
196,"Everdragons","DNA. Everdragons are all 100% unique -  no two are the same. They vary in design -  color -  origin -  domain and Power Source. These aspects are written into the Everdragons DNA -  embedded in the Blockchain -  and can never be altered."
197,"Everdragons","COMPETE. Put your grown Everdragon forth in the competitions and win prestige -  experience -  gold coins and other treasrures to trade and use."
198,"Everdragons","PLAY. Let your Everdragon cubs play in the dragon games where they can reach achievements and win prizes from the leaderboards."
199,"Everdragons","TRADE. Buy -  sell and collect! Everdragons make for interesting trading as they are all 100% unique in appearance and have several attributes."
200,"Decentraland","While Decentraland is still under active development and there is currently no way to access the world -  it will support several platforms: you will be able to access Decentraland from a mobile device -  a web browser -  or a VR headset to enhance your immersive experience."
201,"Decentraland","Some parcels are further organized into themed communities -  or Districts. By organizing parcels into Districts -  the community can create shared spaces with common interests and uses. You can find a list of the original District Proposals on GitHub. The content that makes up Decentraland is stored and distributed via the IPFS network while ownership and transactions are validated on the Ethereum blockchain."
202,"Decentraland","The finite -  traversable -  3D virtual space within Decentraland is called LAND -  a non-fungible digital asset maintained in an Ethereum smart contract. Land is divided into parcels that are identified by cartesian coordinates (x - y). These parcels are permanently owned by members of the community and are purchased using MANA -  Decentraland’s cryptocurrency token. This gives users full control over the environments and applications that they create -  which can range from anything like static 3D scenes to more interactive applications or games."
203,"BRD","Fast Support. Get all your questions answered in less than 2 hours. Our global support team is ready to help first-time bitcoin buyers to the most advanced investors."
204,"BRD","Total Privacy. No signup is required and BRD connects directly to blockchain networks -  not BRD’s servers. You are in total control of your privacy."
205,"BRD","Unhackable Security. Store all your valuable cryptocurrency in a virtually unhackable environment -  all for free! Everything is protected on your own device utilizing industry-leading hardware encryption and Apple’s mobile security."
206,"BRD","Easy Purchasing. Buy bitcoin with a credit card -  checking account -  cash -  or other cryptocurrencies. Buy ethereum -  bitcoin cash -  and over 100 popular ERC20 tokens instantly with other cryptocurrencies or tokens."
207,"LandSecrets","LandSecrets supports ETH - YGO - ODIN - TQC tokens"
208,"Electrum Bitcoin Wallet","Electrum supports third-party plugins: Multisig services -  Hardware wallets -  etc."
209,"Electrum Bitcoin Wallet","Cold Storage: Keep your private keys offline and go online with a watching-only wallet."
210,"Electrum Bitcoin Wallet","Proof Checking: Electrum Wallet verifies all the transactions in your history using SPV."
211,"Electrum Bitcoin Wallet","No Downtimes: Electrum servers are decentralized and redundant. Your wallet is never down."
212,"Electrum Bitcoin Wallet","No Lock-In: You can export your private keys and use them in other Bitcoin clients."
213,"Electrum Bitcoin Wallet","Instant On: Electrum uses servers that index the Bitcoin blockchain making it fast."
214,"Electrum Bitcoin Wallet","Forgiving: Your wallet can be recovered from a secret phrase."
215,"Electrum Bitcoin Wallet","Safe: Your private keys are encrypted and never leave your device."
216,"Tenta Browser","No Logs Kept"
217,"Tenta Browser","Password encrypted"
218,"Tenta Browser","Private and secure browsing by default"
219,"Tenta Browser","Video downloader"
220,"Tenta Browser","Encrypted media vault"
221,"Tenta Browser","Anti tracker"
222,"Tenta Browser","Ad blocker"
223,"Tenta Browser","HTTPS Everywhere"
224,"Tenta Browser","DNS over TLS -  DNSSEC -  DNS over HTTPS"
225,"Tenta Browser","Full Data Encryption"
226,"Tenta Browser","Built-in VPN"
227,"Tenta Browser","Native integration of blockchain protocols and services"
228,"Tenta Browser","Decentralized DNS support"
229,"CoinTiger","Multiple-Coin Support: BTC -  ETH -  LTC -  TCH"
230,"CoinTiger","Multilingual Support: Support and FAQs available in multiple languages"
231,"CoinTiger","All Devices Covered: Web -  Android -  iOS -  Mobile Web -  Windows"
232,"CoinTiger","High Liquidity: Abundant resources and partners"
233,"CoinTiger","Safety Stability: Multi-tier & multi-cluster system architecture"
234,"Livepeer","Everyone who holds LPT has the opportunity to participate in the Livepeer network. If you’ve earned or purchased LPT -  then you can use it to broadcast video."
235,"Livepeer","Livepeer has a crypto-token -  called Livepeer Token -  or LPT. All payments and all compensation through Livepeer is not done is US dollars or other currency. It’s done through a crypto-token called LPT. LPT has important uses in keeping the Livepeer network safe and secure."
236,"Livepeer","Livepeer is built on Ethereum. Ethereum is a platform that lets us embed economic rules and incentives into software."
237,"Livepeer","Livepeer is open. All the code that powers the Livepeer video infrastructure and network is open source. Anyone can contribute and build whatever they want on top of Livepeer."
238,"Livepeer","Livepeer is incentivized. Users who run the Livepeer software can earn money. They contribute their computer’s processing power and bandwidth in service of the Livepeer network -  and they get compensated for doing so."
239,"Livepeer","Livepeer is decentralized. There is no single company operating the Livepeer network. Everyone who runs the Livepeer software is part of the Livepeer infrastructure -  and they are all owners in the network."
240,"Livepeer","Livepeer is live video infrastructure. It is the technology that lets you broadcast video over the internet -  or lets anyone build video into their own app or web site."
241,"GreenAddress","Hardware wallet support such as Ledger and Trezor"
242,"GreenAddress","In the event of service disappearance funds can be recovered via nLockTime transactions and our open-source tools"
243,"GreenAddress","Instant transaction confirmation with GreenAddress transaction attestation"
244,"GreenAddress","Multisignature addresses between client and server -  for enhanced security"
245,"GreenAddress","2FA via phone/sms/e-mail"
246,"GreenAddress","Easy paper wallet backup via BIP39 mnemonics"
247,"CryptoSoccr","Collect and trade your favorite players’ smart contracts"
248,"CryptoSoccr","A place for football fans and online gamers"
249,"Chibi Fighters","Take on friendly Brawls"
250,"Chibi Fighters","Win ETH or Glory"
251,"Chibi Fighters","Battle for Ranks"
252,"Chibi Fighters","Trade -  collect or fuse Chibis"
253,"Chibi Fighters","Every Warrior starts small and cute"
254,"Chibi Fighters","Chibi Fighters fight on the Ethereum Blockchain"
255,"GP Casino","Get Scatter or another type of digital wallet with EOS to be able to play the game."
256,"Panda Earth","Social Welfare: PandaEarth will introduce the knowledge of pandas in this blockchain based game."
257,"Panda Earth","Circulation: According to the characteristics of ERC721 token -  the circulation of the CryptoPandas become extremely convenient. They can be directly exchanged with other crypto collectibles or digital assets (e.g. Ethereum)."
258,"Panda Earth","Crypto-Collectibles: PandaEarth team has set the total number of CryptoPandas through smart contracts based on the ultimate goal of protecting giant pandas and the changing trend of the natural environment."
259,"Panda Earth","One-of-A-Kind: With a unique genetic algorithm -  each CryptoPanda has its own genes and personality. Pandas of different personalities will even have extremely treasured CryptoPanda babies. All genetic probabilities will be deployed on smart contracts to ensure fairness and one of a kind."
260,"Panda Earth","Mapping Reality: Authorized by China Conservation and Research Center for Giant Panda -  PandaEarth will make every real -  rare -  and adorable panda a digital copy and store them on blockchain as the [GUARDIAN] in PandaEarth."
261,"Digital BitBox","Password protected."
262,"Digital BitBox","Embedded LED status indicator."
263,"Digital BitBox","Capacitive touch button confirmation. Touch briefly to ‘reject’ -  and touch longer to ‘accept’."
264,"Digital BitBox","Erase and reset after 15 failed attempts -  eliminating brute force password attacks. If a reset happens by accident -  the wallet can be recovered simply by reloading the wallet seed from the micro SD card."
265,"Digital BitBox","Two-factor authentication option to prevent man-in-the-middle (MITM) attacks."
266,"Digital BitBox","AES-256-CBC encrypted communication over USB that is immune to glitching and timing attacks."
267,"Digital BitBox","The minimalist design keeps the code as simple as possible -  making audits easier and reducing the number of attack vectors."
268,"Digital BitBox","Single-purpose microcontroller that connects to a computer as a plug-and-play USB device. No drivers required."
269,"Bitpay Wallet","Multiple supported languages -  including French -  German -  Chinese (Simplified) -  and Spanish"
270,"Bitpay Wallet","Customizable wallet naming and background colors"
271,"Bitpay Wallet","Support for Bitcoin testnet wallets"
272,"Bitpay Wallet","Easy spending proposal flow for shared wallets and group payments"
273,"Bitpay Wallet","Email and push notifications for payments and transfers"
274,"Bitpay Wallet","Support for 150+ currency pricing options and unit denomination in BTC or bits"
275,"Bitpay Wallet","Payment protocol (BIP70-BIP73) support: easily-identifiable payment requests and verifiably secure bitcoin payments"
276,"Bitpay Wallet","Hierarchical deterministic (HD) address generation and wallet backups"
277,"Bitpay Wallet","Device-based security: all private keys are stored locally -  not in the cloud"
278,"Bitpay Wallet","Intuitive multisignature security for personal or shared wallets"
279,"Bitpay Wallet","Integration for buying Amazon.com gift cards."
280,"Bitpay Wallet","Integration for buying and selling bitcoin."
281,"Bitpay Wallet","Integration for loading -  managing -  and spending the BitPay Visa Card."
282,"Bitpay Wallet","Multiple bitcoin wallet creation and management in-app"
283,"Bitpay Wallet","Support Bitcoin and Bitcoin Cash"
284,"Abra","Hold your investments in a free -  safe wallet where YOU control your money."
285,"Abra","Hedge your investment portfolio in a quick -  easy and safe manner."
286,"Abra","Exchange between currencies whenever you want. For instance -  invest in Ripple or Ethereum by exchanging from US Dollars."
287,"Abra","Invest in 25 cryptocurrencies."
288,"Abra","Buy -  sell and hold bitcoin and litecoin"
289,"MyCrypto","Equivalent Values for Ether / ERC-20 Tokens"
290,"MyCrypto","Mnemonic Phrase Generation"
291,"MyCrypto","Integrated View Wallet"
292,"MyCrypto","Standardized Offline Views"
293,"MyCrypto","Payment Requests (w/ EIP-681)"
294,"MyCrypto","Gas Price Slider (with gas price recommendations)"
295,"MyCrypto","Ethereum Name Service (ENS) integration"
296,"MyCrypto","Hardware Wallet Integration"
297,"Xapo","Chat and send money to any email address or phone number instantly."
298,"Xapo","Top up your account with cash -  bank transfers -  credit card -  or – of course – Bitcoin!"
299,"Xapo","Easily send -  receive and convert funds in all currencies worldwide."
300,"Xapo","Functions just like a checking account for managing daily spending."
301,"CryptoTrader","15+ supported exchanges: Coinbase Pro -  Poloniex -  Bittrex -  Binance -  OKEx -  HitBTC -  Huobi -  Bitfinex -  Bitstamp -  Bithumb -  Okcoin -  BitFlyer -  and more."
302,"CryptoTrader","Stay up-to-date: Custom price alerts"
303,"CryptoTrader","Follow every market move: With real-time charts"
304,"CryptoTrader","Watch trending currencies: Bitcoin -  Ethereum -  EOS & more (1500+ coins)"
305,"Coinbase App","Mobile apps: Stay on top of the markets with the Coinbase app for Android or iOS."
306,"Coinbase App","Vault protection: For added security -  store your funds in a vault with time delayed withdrawals."
307,"Coinbase App","Recurring buys: Invest in digital currency slowly over time by scheduling buys daily -  weekly -  or monthly."
