"id","name","define"
54,"Merkel Tree","Also known as a Hash Tree, is a data structure where every child node contains a hashing label of the node that exists above it in the tree."
55,"MD5","A hashing function developed in 1992 due to known vulnerabilities predominately used for checksums and data validity."
56,"Market Capitalization","A measurement of the market valuation for outstanding tokens."
57,"Mainchain","Referring to processes or transactions that occur on the most currently released version of a particular blockchain."
58,"Lightning Network","A blockchain scalability model that greatly expands throughput, speed, cost effectiveness and compatibility."
59,"Lambo","A meme referring to the luxury vehicle investors will buy with their new found crypto wealth."
60,"KYC","Know Your Customer."
61,"Keccak","A family of cryptographic hashing functions which utilize sponge construction in order to provide wider random permutation, leading to greater flexibility in its use cases."
62,"IoT","Internet of Things."
63,"Initial coin offering","Similar to Crowdsale, provides blockchain with a one-time event allowing investors to buy tokens at a discounted rate and provide the chain with start-up capital, similar to an IPO in the stock market."
64,"Index fund","A passively managed fund, where investors are buying into a portfolio that a particular segment of the market, called an index Examples include the S&P 500 & Vanguard 500."
65,"HODL","A meme in the crypto community that is a purposeful misspelling of the word “hold.” Another interpretation for HODL is an acronym meaning, “hold on for dear life.”"
66,"HD Wallets","Hierarchical Deterministic Wallet."
67,"Hashing","The process of transforming data using a mathematical function into a value or key that is reprehensive of the original data set."
68,"Hard Wallet","A wallet built upon a secure hardware platform that implement processes and platform specific software to provide greater security for their users."
69,"Hard Fork","A software of protocol change that renders previous versions incompatible."
70,"Halving","Refers to the process where the payout for reward mechanism for blockchain miners is halved when particular conditions are met."
71,"Gwei","The denomination in which gas prices are paid for on the Ethereum blockchain."
72,"GPU","Graphics Processing Unit."
73,"Golden Cross","A golden cross occurs when a short-term moving average crosses above a long-term moving average signaling a potential bullish breakout."
74,"GM","An abbreviation for good morning, which in crypto is a friendly and quick way of wishing your followers or community a joyous day."
75,"Genesis Block","The first block of a blockchain, almost always hardcoded into the software clients — the only block in the chain that has no reference to a previous block."
76,"Gas Price","The maximum a user is willing to reward a miner in order to have their transaction processed, higher prices ensure faster transaction times."
77,"Gas","A measurement given to functions on the Ethereum blockchain to denote how computationally expensive they will be, this is offered to the miners who complete the process as a reward."
78,"Futures Contract","An agreement that can be traded on exchanges that stipulates a buy or sell price of an asset at a specific price and time."
79,"FUDster","Someone who uses an elevated media platform or social network to perpetuate Fear Uncertainty and Doubt through the investing community in order to effect prices."
80,"FUD","Fear, Uncertainty and Doubt that affects markets, usually in a negative fashion."
81,"FOMO","Fear of Missing Out."
82,"Flippening","A scenario in where Ethereum overtakes Bitcoin as the dominant cryptocurrency."
83,"Fiat","Currency that has no direct material backing, usually in reference to debt based markets such as USD."
84,"Faucet","A site or application that will reward it’s users with a cryptocurrency for completing specified tasks and assignments."
85,"EVM","Ethereum Virtual Machine."
86,"Ethereum","An open source blockchain that acts as a distributed computing platform and operating system, allowing decentralized applications and smart contracts be executed."
87,"Escrow","A service that provides transaction security by acting as an impartial trusted third party, holding onto an asset until the terms of a contract have been fulfilled."
88,"ERC20","A protocol that outlines the specific functions and events that allow blockchains to interact with other via the Ethereum Blockchain."
89,"ENS","Similar to a DNS within internet infrastructure, it allows user to obtain a “custom domain” .eth address, instead of using regular hexadecimal hash."
90,"ELI5","Explain it Like I’m 5."
91,"Distributed Ledger","A digital record of transactions that is maintained by a group of clients where changes and additions are verified across all parties to ensure no tampering has taken place."
92,"Digital Signature","A unique digital identifier that allows for a user to distinctly recognise and validate a file or transaction, usually through the use of a cryptographic hash similar to a public key."
93,"DEX","Decentralized Exchange."
94,"Delegated Proof of Stake","Takes the fundamentals of proof of stake and adds a democratic element whereby the community elect Witness’ to secure the network and vote power is determined by the size of their staked assets."
95,"DeFi","Short for decentralized finance."
96,"Death Cross","A death cross appears on a chart when an asset’s short-term moving average crosses below the long-term moving average indicating the potential for a major selloff."
97,"DDoS","Distributed Denial of Service."
98,"dApp","Stands for Decentralised Application."
99,"DAO","Decentralised Autonomous Organization."
100,"DAG","Directed Acyclical Graph."
101,"Crowdsale","The process where a blockchain offers investors newly minted tokens or coins, often at a discounted rate, in exchange for capital."
102,"CPU","Central computing unit."
103,"Consensus algorithm","Ensures that all users taking part in the minting process maintain the same version the chain, whilst preventing any single party from using their power to derail or negatively direct the chain."
104,"Cold Storage","A storage method that keeps the wallet off of the internet when it is not being actively used."
105,"Byzantine fault tolerance","A consensus mechanism that offers secure validation across a distributed set of data, stemming from information propagation theory labelled as the Byzantine Generals problem."
106,"Burned","A process where Cryptocurrencies remove stored tokens from the circulating supply."
107,"Bullish","A descriptive term borrowed from stock markets to describe a positive market outlook."
108,"Block Time","The average time it takes for the network to find a solution to the block hash."
109,"Block Reward","A mechanism that awards miners with newly minted bitcoin, acting as an incentive for users to add hashing power to the network."
110,"Block Height","The number of blocks in the chain between the current block being minted and the genesis block."
111,"Block Explorer","Similar to the File Explorer of a computer’s operating system."
112,"Block","Blocks are linearly arranged data structures that permanently record the transaction data on a blockchain."
113,"Black Swan Event","This term is used to refer to the most unexpected event that has the maximum possibility to occur in the market."
114,"Bid-Ask Spread","It is the difference between the highest bid price and the lowest ask price of an asset."
115,"Bid Price","The highest price a buyer is willing to pay for an asset."
116,"Beta","When used to indicate software status, it refers to an early test version of a program."
117,"BEP-95","A Binance Evolution Proposal that introduces a real-time burning mechanism to Binance Smart Chain."
118,"BEP-721","The technical standard to create non-fungible tokens (NFTs) on the Binance Smart Chain."
119,"BEP-20","It is a token standard to use when transferring crypto assets from other chains to the Binance Smart Chain."
120,"BEP-2","Short for “Binance Chain Evolution Proposal 2.” It defines a set of technical rules and specifications to create a new token on the Binance Chain."
121,"BEF","Short for “Binance Ecosystem Fund.” It is an initiative founded by Binance to establish collaborations within the blockchain and cryptocurrency ecosystem."
122,"Bearish","A descriptive term borrowed from stock markets to describe a negative market outlook."
123,"BCF","Short for “Binance Blockchain Charity Foundation.” BCF is the world’s first decentralized charity platform."
124,"Bag Holder","Someone who has bought at a recent high and is left holding onto their asset, waiting to sell at the next point it breaks even."
125,"Attack Surface","The entry points for unauthorized access into a system."
126,"Atomic Swaps","A medium to perform direct, peer to peer cross chain exchanges from one blockchain to another, without an intermediate trusted third party or escrow service."
127,"ATH","The All Time High price of a cryptocurrency."
128,"Ask Price","The lowest price sellers determine as willing to accept."
129,"ASIC","Application Specific integrated circuits."
130,"Ascending triangle","An ascending triangle is generally considered to be a continuation pattern, meaning that the pattern is significant if it occurs within an uptrend or downtrend."
131,"Arbitrage","Taking advantage of variable prices across multiple exchanges in order to sell assets at a profit, despite little to no market movement."
132,"APU","Accelerated Processing Unit."
133,"API","Short for “Application Programming Interface.” It is a piece of code that enables interaction between software to enable various tasks like obtaining real market data or execute trades"
134,"Angel Investor","Private investors who provide financial support to new startups in return for equity rights."
135,"AML","Short for “Anti Money Laundering.” A set of regulations determined by a nation to combat money laundering."
136,"Altcoin","Short for “Alternative Coin”, refers to all coins except Bitcoin."
